ROUTE_N_NAME;DIR;PERIOD;COND;SINCE;TILL;SEASON
Г 009 Северный автовокзал - Пос. Турбаслы;>;60;ПН-ПТ;6:00;7:00;Круглогодично
Г 010 ДК УМПО - пос. Максимовка;>;8;ПН-ПТ;6:00;7:00;Круглогодично
Г 015 Северный автовокзал - Северное кладбище;>;60;ПН-ПТ;6:00;7:00;Круглогодично
Г 016А Ул. Крайняя - ул. Дагестанская;>;30;ПН-ПТ;6:00;7:00;Круглогодично
Г 022 Ледовый дворец «Уфа-Арена» - Нижегородка;>;58;ПН-ПТ;6:00;7:00;Круглогодично
Г 022А Ледовый дворец «Уфа-Арена» - Нижегородка;>;60;ПН-ПТ;6:00;7:00;Круглогодично
Г 024 Левый берег р. Белой - Школа №128;>;60;ПН-ПТ;6:00;7:00;Круглогодично
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;>;20;ПН-ПТ;6:00;7:00;Круглогодично
Г 034 Ул. Гилева - Узловая автобаза;>;60;ПН-ПТ;6:00;7:00;Круглогодично
Г 035 ст. Шакша - ДК УМПО;>;30;ПН-ПТ;6:00;7:00;Круглогодично
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;>;18;ПН-ПТ;6:00;7:00;Круглогодично
Г 043 Северный автовокзал - Новые Черкассы;>;60;ПН-ПТ;6:00;7:00;Круглогодично
Г 055 мкр Белореченский - ТК Центральный;>;30;ПН-ПТ;6:00;7:00;Круглогодично
Г 057А Уфимское управление буровых работ - Больница №21;>;30;ПН-ПТ;6:00;7:00;Круглогодично
Г 071 Уфимский ДОК- ТРЦ Планета;>;40;ПН-ПТ;6:00;7:00;Круглогодично
Г 073 Больница №21 - ТЦ МЕГА-УФА;>;20;ПН-ПТ;6:00;7:00;Круглогодично
Г 200 Адмирала Макарова - Южный микрорайон;>;20;ПН-ПТ;6:00;7:00;Круглогодично
Г 202 Школа-лицей №2 - Городской Дворец культуры;>;10;ПН-ПТ;6:00;7:00;Круглогодично
Г 203 Кузнецовский затон - ТРЦ Планета;>;30;ПН-ПТ;6:00;7:00;Круглогодично
Г 204 Улица Вологодская - Больница №18;>;22;ПН-ПТ;6:00;7:00;Круглогодично
Г 205 Улица Парковая - Телецентр;>;16;ПН-ПТ;6:00;7:00;Круглогодично
