LINENAME;DIRECTIONCODE;TIMEPROFILENAME;INDEX;POSTRUNTIME;POSTLENGTH;ACCUMRUNTIME;STOPTIME;LINEROUTEITEM\STOPPOINT\NAME
001(ж/д) Дёма - Шакша;>;B;1;126;1.988945599;0;0;Дёма
001(ж/д) Дёма - Шакша;>;B;2;316;4.996387798;126;25;Дёма-2
001(ж/д) Дёма - Шакша;>;B;3;190;3.002482496;467;25;пл. Правая Белая
001(ж/д) Дёма - Шакша;>;B;4;327;5.175160546;682;25;Уфа
001(ж/д) Дёма - Шакша;>;B;5;180;2.854032587;1034;25;пл. Воронки
001(ж/д) Дёма - Шакша;>;B;6;197;3.114121145;1239;25;пл. 1629 км
001(ж/д) Дёма - Шакша;>;B;7;95;1.505085646;1461;25;пл. Парковая
001(ж/д) Дёма - Шакша;>;B;8;150;2.369208414;1581;25;Черниковка
001(ж/д) Дёма - Шакша;>;B;9;298;4.725443617;1756;25;пл. Спортивная
001(ж/д) Дёма - Шакша;>;B;10;142;2.243312856;2079;25;пл. Правая Уфимка
001(ж/д) Дёма - Шакша;>;B;11;0;0;2246;0;Шакша
001(ж/д) Дёма - Шакша;<;B;1;142;2.243312856;0;0;Шакша
001(ж/д) Дёма - Шакша;<;B;2;298;4.725443617;142;25;пл. Правая Уфимка
001(ж/д) Дёма - Шакша;<;B;3;150;2.369208414;465;25;пл. Спортивная
001(ж/д) Дёма - Шакша;<;B;4;95;1.505085646;640;25;Черниковка
001(ж/д) Дёма - Шакша;<;B;5;197;3.114121145;760;25;пл. Парковая
001(ж/д) Дёма - Шакша;<;B;6;180;2.854032587;982;25;пл. 1629 км
001(ж/д) Дёма - Шакша;<;B;7;327;5.175160546;1187;25;пл. Воронки
001(ж/д) Дёма - Шакша;<;B;8;190;3.002482496;1539;25;Уфа
001(ж/д) Дёма - Шакша;<;B;9;316;4.996387798;1754;25;пл. Правая Белая
001(ж/д) Дёма - Шакша;<;B;10;126;1.988945599;2095;25;Дёма-2
001(ж/д) Дёма - Шакша;<;B;11;0;0;2246;0;Дёма
002(ж/д) Дёма - Уфа;>;B;1;126;1.988945599;0;0;Дёма
002(ж/д) Дёма - Уфа;>;B;2;99;1.565632736;126;25;Дёма-2
002(ж/д) Дёма - Уфа;>;B;3;217;3.430755061;250;25;пл. Левая Белая
002(ж/д) Дёма - Уфа;>;B;4;190;3.002482496;492;25;пл. Правая Белая
002(ж/д) Дёма - Уфа;>;B;5;0;0;707;0;Уфа
002(ж/д) Дёма - Уфа;<;B;1;190;3.002482496;0;0;Уфа
002(ж/д) Дёма - Уфа;<;B;2;217;3.430755061;190;25;пл. Правая Белая
002(ж/д) Дёма - Уфа;<;B;3;99;1.565632736;432;25;пл. Левая Белая
002(ж/д) Дёма - Уфа;<;B;4;126;1.988945599;556;25;Дёма-2
002(ж/д) Дёма - Уфа;<;B;5;0;0;707;0;Дёма
003(ж/д) Уфа - Шакша;>;B;1;327;5.175160546;0;0;Уфа
003(ж/д) Уфа - Шакша;>;B;2;180;2.854032587;327;25;пл. Воронки
003(ж/д) Уфа - Шакша;>;B;3;197;3.114121145;532;25;пл. 1629 км
003(ж/д) Уфа - Шакша;>;B;4;95;1.505085646;754;25;пл. Парковая
003(ж/д) Уфа - Шакша;>;B;5;150;2.369208414;874;25;Черниковка
003(ж/д) Уфа - Шакша;>;B;6;298;4.725443617;1049;25;пл. Спортивная
003(ж/д) Уфа - Шакша;>;B;7;142;2.243312856;1372;25;пл. Правая Уфимка
003(ж/д) Уфа - Шакша;>;B;8;0;0;1539;0;Шакша
003(ж/д) Уфа - Шакша;<;B;1;142;2.243312856;0;0;Шакша
003(ж/д) Уфа - Шакша;<;B;2;298;4.725443617;142;25;пл. Правая Уфимка
003(ж/д) Уфа - Шакша;<;B;3;150;2.369208414;465;25;пл. Спортивная
003(ж/д) Уфа - Шакша;<;B;4;95;1.505085646;640;25;Черниковка
003(ж/д) Уфа - Шакша;<;B;5;197;3.114121145;760;25;пл. Парковая
003(ж/д) Уфа - Шакша;<;B;6;180;2.854032587;982;25;пл. 1629 км
003(ж/д) Уфа - Шакша;<;B;7;327;5.175160546;1187;25;пл. Воронки
003(ж/д) Уфа - Шакша;<;B;8;0;0;1539;0;Уфа
Г 001(Тм) Железнодорожный вокзал - Санаторий «Зеленая роща»;>;B;1;84;0.698580182;0;0;Железнодорожный вокзал
Г 001(Тм) Железнодорожный вокзал - Санаторий «Зеленая роща»;>;B;2;55;0.460234947;84;25;Тепловозремонтный завод (ТРЗ)
Г 001(Тм) Железнодорожный вокзал - Санаторий «Зеленая роща»;>;B;3;36;0.296012413;164;25;Ул. Пермская
Г 001(Тм) Железнодорожный вокзал - Санаторий «Зеленая роща»;>;B;4;26;0.208270315;225;25;Башкирское речное пароходство
Г 001(Тм) Железнодорожный вокзал - Санаторий «Зеленая роща»;>;B;5;68;0.572000762;276;25;Бульвар Ибрагимова
Г 001(Тм) Железнодорожный вокзал - Санаторий «Зеленая роща»;>;B;6;72;0.613906525;369;25;Уфимский завод эластамерных материалов и конструкций (УЗЭМИК)
Г 001(Тм) Железнодорожный вокзал - Санаторий «Зеленая роща»;>;B;7;35;0.290783509;466;20;Центр молодежи
Г 001(Тм) Железнодорожный вокзал - Санаторий «Зеленая роща»;>;B;8;55;0.459451192;521;20;Дом печати
Г 001(Тм) Железнодорожный вокзал - Санаторий «Зеленая роща»;>;B;9;34;0.290259655;596;25;Республиканская клиническая больница им. Куватова (РКБ им. Куватова)
Г 001(Тм) Железнодорожный вокзал - Санаторий «Зеленая роща»;>;B;10;33;0.278834814;655;25;Ул. Кирова
Г 001(Тм) Железнодорожный вокзал - Санаторий «Зеленая роща»;>;B;11;50;0.417665863;713;25;Ул. Мингажева
Г 001(Тм) Железнодорожный вокзал - Санаторий «Зеленая роща»;>;B;12;37;0.312257839;788;25;Ул. Новомостовая
Г 001(Тм) Железнодорожный вокзал - Санаторий «Зеленая роща»;>;B;13;32;0.263689068;850;25;ул. Воровского
Г 001(Тм) Железнодорожный вокзал - Санаторий «Зеленая роща»;>;B;14;59;0.495;907;25;ул. Ветошникова
Г 001(Тм) Железнодорожный вокзал - Санаторий «Зеленая роща»;>;B;15;78;0.653193209;991;25;Ул. Красногвардейская
Г 001(Тм) Железнодорожный вокзал - Санаторий «Зеленая роща»;>;B;16;48;0.396682678;1094;25;Ул. Менделеева
Г 001(Тм) Железнодорожный вокзал - Санаторий «Зеленая роща»;>;B;17;38;0.322283207;1167;25;Трикотажная фабрика
Г 001(Тм) Железнодорожный вокзал - Санаторий «Зеленая роща»;>;B;18;48;0.391314848;1230;25;Хлопчатобумажный комбинат (ХБК)
Г 001(Тм) Железнодорожный вокзал - Санаторий «Зеленая роща»;>;B;19;36;0.29642077;1303;25;Ул. Бакалинская
Г 001(Тм) Железнодорожный вокзал - Санаторий «Зеленая роща»;>;B;20;68;0.569618621;1364;25;Уфимский колледж библиотечного дела и массовых коммуникаций
Г 001(Тм) Железнодорожный вокзал - Санаторий «Зеленая роща»;>;B;21;0;0;1457;0;"Санаторий ""Зеленая роща"""
Г 001(Тм) Железнодорожный вокзал - Санаторий «Зеленая роща»;<;B;1;63;0.525911541;0;0;"Санаторий ""Зеленая роща"""
Г 001(Тм) Железнодорожный вокзал - Санаторий «Зеленая роща»;<;B;2;51;0.413684857;63;20;Уфимский колледж библиотечного дела и массовых коммуникаций
Г 001(Тм) Железнодорожный вокзал - Санаторий «Зеленая роща»;<;B;3;42;0.344076929;134;25;Ул. Бакалинская
Г 001(Тм) Железнодорожный вокзал - Санаторий «Зеленая роща»;<;B;4;38;0.321157277;201;25;Хлопчатобумажный комбинат (ХБК)
Г 001(Тм) Железнодорожный вокзал - Санаторий «Зеленая роща»;<;B;5;40;0.333982731;264;25;Трикотажная фабрика
Г 001(Тм) Железнодорожный вокзал - Санаторий «Зеленая роща»;<;B;6;83;0.691446678;329;25;Ул. Менделеева
Г 001(Тм) Железнодорожный вокзал - Санаторий «Зеленая роща»;<;B;7;67;0.561850619;437;25;Ул. Красногвардейская
Г 001(Тм) Железнодорожный вокзал - Санаторий «Зеленая роща»;<;B;8;25;0.210217013;529;25;ул. Ветошникова
Г 001(Тм) Железнодорожный вокзал - Санаторий «Зеленая роща»;<;B;9;34;0.28250899;579;25;ул. Воровского
Г 001(Тм) Железнодорожный вокзал - Санаторий «Зеленая роща»;<;B;10;58;0.483863923;638;25;Ул. Новомостовая
Г 001(Тм) Железнодорожный вокзал - Санаторий «Зеленая роща»;<;B;11;26;0.219875978;721;25;Ул. Мингажева
Г 001(Тм) Железнодорожный вокзал - Санаторий «Зеленая роща»;<;B;12;32;0.272129464;772;25;Ул. Кирова
Г 001(Тм) Железнодорожный вокзал - Санаторий «Зеленая роща»;<;B;13;33;0.280420541;829;25;Республиканская клиническая больница им. Куватова (РКБ им. Куватова)
Г 001(Тм) Железнодорожный вокзал - Санаторий «Зеленая роща»;<;B;14;34;0.282680952;887;25;Студенческая
Г 001(Тм) Железнодорожный вокзал - Санаторий «Зеленая роща»;<;B;15;45;0.378057542;946;20;Дом печати
Г 001(Тм) Железнодорожный вокзал - Санаторий «Зеленая роща»;<;B;16;67;0.575443896;1011;25;Центр молодежи
Г 001(Тм) Железнодорожный вокзал - Санаторий «Зеленая роща»;<;B;17;86;0.705543926;1103;25;Уфимский завод эластамерных материалов и конструкций (УЗЭМИК)
Г 001(Тм) Железнодорожный вокзал - Санаторий «Зеленая роща»;<;B;18;61;0.506006986;1214;25;Башкирское речное пароходство
Г 001(Тм) Железнодорожный вокзал - Санаторий «Зеленая роща»;<;B;19;26;0.214219215;1300;25;Ул. Пермская
Г 001(Тм) Железнодорожный вокзал - Санаторий «Зеленая роща»;<;B;20;85;0.712522519;1351;25;Тепловозремонтный завод (ТРЗ)
Г 001(Тм) Железнодорожный вокзал - Санаторий «Зеленая роща»;<;B;21;0;0;1461;0;Железнодорожный вокзал
Г 008(Тм) Ул. Интернациональная - Парк им. Калинина;<;B;1;567;4.70695481;0;0;Парк им. Калинина
Г 008(Тм) Ул. Интернациональная - Парк им. Калинина;<;B;2;471;3.927157749;567;20;Сортопрокатный завод
Г 008(Тм) Ул. Интернациональная - Парк им. Калинина;<;B;3;109;0.909979277;1058;20;Троллейбусное депо №2
Г 008(Тм) Ул. Интернациональная - Парк им. Калинина;<;B;4;47;0.394459675;1187;25;Ул. Кремлевская
Г 008(Тм) Ул. Интернациональная - Парк им. Калинина;<;B;5;42;0.351401344;1259;25;Больница №17
Г 008(Тм) Ул. Интернациональная - Парк им. Калинина;<;B;6;109;0.901174101;1326;25;Ул. Д. Донского
Г 008(Тм) Ул. Интернациональная - Парк им. Калинина;<;B;7;129;1.06915506;1460;25;"Торгово-сервисный комплекс ""Северный"" (ТСК ""Северный"")"
Г 008(Тм) Ул. Интернациональная - Парк им. Калинина;<;B;8;131;1.07933914;1614;25;Военный комиссариат Орджоникидзевского района
Г 008(Тм) Ул. Интернациональная - Парк им. Калинина;<;B;9;152;1.263036575;1770;25;Ул. Конституции
Г 008(Тм) Ул. Интернациональная - Парк им. Калинина;<;B;10;183;1.545531342;1947;25;Ул. Ульяновых
Г 008(Тм) Ул. Интернациональная - Парк им. Калинина;<;B;11;0;0;2155;0;Ул. Интернациональная
Г 008(Тм) Ул. Интернациональная - Парк им. Калинина;>;B;1;152;1.278091707;0;0;Ул. Интернациональная
Г 008(Тм) Ул. Интернациональная - Парк им. Калинина;>;B;2;80;0.672431557;152;25;Ул. Маяковского
Г 008(Тм) Ул. Интернациональная - Парк им. Калинина;>;B;3;126;1.043666599;257;25;Республиканский экономический лицей
Г 008(Тм) Ул. Интернациональная - Парк им. Калинина;>;B;4;128;1.060074846;408;25;Ул. Конституции
Г 008(Тм) Ул. Интернациональная - Парк им. Калинина;>;B;5;137;1.131849344;561;25;Военный комиссариат Орджоникидзевского района
Г 008(Тм) Ул. Интернациональная - Парк им. Калинина;>;B;6;103;0.856095108;723;25;"Торгово-сервисный комплекс ""Северный"" (ТСК ""Северный"")"
Г 008(Тм) Ул. Интернациональная - Парк им. Калинина;>;B;7;40;0.332344036;851;25;Ул. Д. Донского
Г 008(Тм) Ул. Интернациональная - Парк им. Калинина;>;B;8;48;0.398045052;916;25;Больница №17
Г 008(Тм) Ул. Интернациональная - Парк им. Калинина;>;B;9;164;1.367097452;989;25;Ул. Кремлевская
Г 008(Тм) Ул. Интернациональная - Парк им. Калинина;>;B;10;70;0.582221593;1178;20;Ул. Кольцевая
Г 008(Тм) Ул. Интернациональная - Парк им. Калинина;>;B;11;914;7.609302066;1268;20;Детская поликлиника №4
Г 008(Тм) Ул. Интернациональная - Парк им. Калинина;>;B;12;0;0;2202;0;Парк им. Калинина
Г 009 Северный автовокзал - Пос. Турбаслы;>;B;1;105;0.732161786;0;0;ул. Молодежная
Г 009 Северный автовокзал - Пос. Турбаслы;>;B;2;286;1.985666816;105;25;Старые Турбаслы
