Уфа АЦ ВАЗ-Аэропорт;110;4115.200000000000
Уфа (ул. Дзержинского) - Аэропорт;101;3601.200000000000
Октябрьский - Туймазы ч/з Нарышево;106;2766.200000000000
Салават АВ- Стерлитамак АВ;101;2348.300000000000
Уфа - Лесхоз;108;1392.000000000000
Салават-Мелеуз;102;1217.200000000000
Нефтекамск-Янаул;114;1181.200000000000
Ишимбай - Стерлитамак;102;1160.400000000000
Уфа Южный АВ - Мусино;120;1015.833333333315
"""Стерлитамак - Сады """"Ясное""""""";157;963.000000000000
Нефтекамск-Кармановская ГРЭС;112;869.700000000000
Салават-Ишимбай;101 и;862.200000000000
Уфа - Кушнаренково;258;771.800000000000
Белебей-Приютово;101;697.500000000000
Нефтекамск - Амзя - 9 км;116-2;695.100000000000
Шаран-Туймазы;119;662.600000000000
Агидель-Нефтекамск;120;589.200000000000
Сибай-Баймак;113;573.400000000000
Уфа ТК Центральный - Алексеевка (Теплиный комплекс);115;558.100000000000
Стерлитамак (кол. Рынок) - Наумовка;109;534.900000000000
Нефтекамск АВ - Уфа (Южный автовокзал);588;458.900000000000
Кумертау-Ермолаево;102;436.900000000000
Нефтекамск-Калтасы;113;404.800000000000
Туймазы- Октябрьский- Серафимовский;2;403.800000000000
Стерлитамак - с/х Рощинский;111;336.100000000000
Октябрьский-Туймазы;106;318.700000000000
Уфа (Южный автовокзал) - Шипово;124;316.200000000000
Уфа (Южный автовокзал) - Ц.Рынок - Миловка;112;309.800000000000
"""Стерлитамак - Сады """"Ясное 2""""""";157-2;296.200000000000
"""Уфа - Сады """"Нарат""""""";152;292.000000000000
сан. Красноусольск-Стерлитамак ч/з рынок;282 к;289.700000000000
Кумертау-Мелеуз;101;287.700000000000
Уфа (Южный автовокзал) - Б.Славы - Авдон;122;245.200000000000
Нефтекамск-Амзя;116;244.500000000000
Уфа - Суровка;107;233.000000000000
"""Стерлитамак - Сады """"Ильмень""""""";125;230.400000000000
Уфа (Северный автовокзал)- Тикеево;139;229.400000000000
Уфа (Южный автовокзал) - Нижегородка;164;224.700000000000
"""Стерлитамак - Сады """"Каучук 5/3""""""";157-б;209.800000000000
Чишмы-Уфа;151;206.300000000000
"""Стерлитамак - Сады """"Рощинский""""""";162;202.600000000000
Уфа - Янаул ч/з зап. Развилку;584;190.100000000000
Туймазы - НижнеЗаитово;108;185.300000000000
"""Стерлитамак - Сады """"Строитель 3""""""";158;183.600000000000
Нефтекамск-Ст. Буртюк;105а;178.300000000000
Нефтекамск-Зубовка с/о;111;177.800000000000
Бакалы - Октябрьский;618;172.700000000000
Уфа (К.Рынок)-Ст.Черкассы;111;169.500000000000
Стерлитамак - Сады Аэропорт 2;110-2;168.000000000000
Уфа - Кумлекулево;113;149.888888888873
Уфа - Октябрьский через Туймазы;600 Т;142.800000000000
Чекмагуш-Дюртюли;202;141.800000000000
Уфа - Караидель ч/з Благовещенск;577;140.400000000000
Уфа (Южный автовокзал) - Таптыково;164 Т;136.200000000000
Уфа (фирма МИР) - Кармасан;111;131.333333333333
Нефтекамск-Красный Холм;115;130.600000000000
Стерлитамак - Максимовка - Алга;298;127.500000000000
Приютово - Октябрьский;717;127.000000000000
Стерлитамак - Шеверли;117;126.600000000000
Мелеуз-Федоровка;229;122.100000000000
Уфа - Сибай;798;121.900000000000
"""Стерлитамак - Сады """"Веселое""""""";126;119.400000000000
сан. Красноусольск - Уфа;552С;116.700000000000
Стерлитамак - Янгискаин;119;116.700000000000
Федоровка АС- Салават АВ;500;116.400000000000
Бирск - Уфа ч/з Зап. развилку;535;114.500000000000
Туймазы - Уфа;590;114.100000000000
Стерлитамак - Сады Сосновка;132;112.333333333329
Нефтекамск - Бирск;671;110.200000000000
Октябрьский - Стерлитамак через Туймазы;822;110.200000000000
"""Стерлитамак - Сады """"Майские""""""";109;108.000000000000
Стерлитамак АВ - Талачево;113;106.700000000000
Стерлитамак - Золотоношка;281;103.900000000000
Октябрьский - Уфа экспресс;600;101.600000000000
Уфа - Кумертау;591;101.500000000000
Сибай-Кусеево;114;97.500000000000
Русский Юрмаш - Уфа (Южный автовокзал);130;96.666666666659
Стерлитамак - Мебельный;106;92.400000000000
Уфа - В. Татышлы;547;90.500000000000
Уфа - Агидель;586;88.000000000000
Нефтекамск - Карманово;112 э;87.800000000000
Стерлитамак АВ-сан. Красноусольский;282;86.100000000000
"""Уфа фирма МИР - Сады """"Демские""""""";135;86.000000000000
Янаул - Октябрьский;744;83.700000000000
Уфа - Караидель ч/з Зап. развилку;577;81.800000000000
Федоровка АС-Стерлитамак АВ ч\з Стерлибашево АС;503;81.100000000000
Кармаскалы- Уфа (Южный автовокзал);253 к;79.400000000000
Уфа - Аскино ч/з Благовещенск;567;76.200000000000
Шаран - Уфа ч/з Чекмагуш;809;70.900000000000
"""Уфа - Сады """"Лесная поляна""""""";123;70.500000000000
Дюртюли- Базитамак;107;67.900000000000
Туймазы - Уфа через Кандры;595;65.900000000000
"""Уфа - с/х """"Шемяк""""""";109;65.666666666657
Уфа (Северный автовокзал)-Федоровка;132;64.000000000000
Уфа - Александровка;154;64.000000000000
"""Уфа - Сады """"Факел""""""";111 к;64.000000000000
Петровск-Макарово-Стерлитамак;103;61.200000000000
Уфа-Н.Киешки;572;58.700000000000
Янаул-Кармановская ГРЭС;118;58.600000000000
Мелеуз-Юмагузино;241;57.800000000000
Уфа (К.Рынок)-Иглино;165;57.400000000000
Кумертау-Михайловка;110;56.999999999986
Уфа - Архангельское ч/з Булгаково;582;56.600000000000
Уфа (Южный автовокзал)-Тимкино;121 соц;55.500000000000
Сибай - Стерлитамак;918;55.100000000000
Нефтекамск-Ст.Уразаево с/о;108;54.200000000000
Уфа - Янаул;584;53.900000000000
Уфа - Акъяр;578;52.100000000000
Нефтекамск-Куяново;102;50.900000000000
Стерлитамак - Кармаскалы;122;50.800000000000
Уфа (Южный автовокзал) - Федоровка;125;50.333333333328
Стерлитамак АВ-Стерлибашево АС;149;50.300000000000
Белебей-Суккулово;117;50.200000000000
Уфа (Южный автовокзал)-Енгалышево;142;49.500000000000
Нефтекамск-Калегино;121;49.000000000000
Октябрьский - Белебей;619;48.700000000000
Туймазы - Якшаево;1;48.200000000000
Стерлитамак - Наумкино;290;47.600000000000
Исянгулово - Уфа;611;46.200000000000
Октябрьский-Шахово;113;45.000000000000
Уфа -Стерлитамак;531;45.000000000000
