Уфа АЦ ВАЗ-Аэропорт;110;29.420000;31.670000;29.030000;9.880000
Уфа (ул. Дзержинского) - Аэропорт;101;32.680000;33.440000;31.650000;2.230000
Октябрьский - Туймазы ч/з Нарышево;106;21.910000;47.000000;28.390000;2.690000
Салават АВ- Стерлитамак АВ;101;17.980000;48.210000;28.680000;5.130000
Уфа - Лесхоз;108;57.190000;18.810000;23.680000;0.320000
Нефтекамск-Янаул;114;24.380000;47.670000;25.160000;2.780000
Салават-Мелеуз;102;16.440000;44.360000;33.250000;5.950000
"""Стерлитамак - Сады """"Ясное""""""";157;31.490000;33.400000;35.110000;0.000000
Ишимбай - Стерлитамак;102;21.960000;48.520000;25.540000;3.980000
Нефтекамск-Кармановская ГРЭС;112;16.800000;49.780000;22.900000;10.520000
Уфа - Кушнаренково;258;24.830000;53.720000;17.780000;3.670000
Салават-Ишимбай;101 и;29.570000;37.700000;28.710000;4.020000
Нефтекамск - Амзя - 9 км;116-2;29.060000;37.270000;27.140000;6.540000
Белебей-Приютово;101;19.340000;42.910000;31.320000;6.430000
Шаран-Туймазы;119;18.560000;49.210000;30.370000;1.860000
Сибай-Баймак;113;20.600000;47.050000;30.790000;1.550000
Агидель-Нефтекамск;120;25.530000;42.810000;22.950000;8.710000
Стерлитамак (кол. Рынок) - Наумовка;109;22.980000;41.800000;30.110000;5.120000
Нефтекамск АВ - Уфа (Южный автовокзал);588;17.470000;44.580000;30.680000;7.260000
Уфа ТК Центральный - Алексеевка (Теплиный комплекс);115;44.160000;25.080000;26.250000;4.510000
Уфа Южный АВ - Мусино;120;24.770000;48.460000;26.770000;0.000000
Нефтекамск-Калтасы;113;24.760000;51.890000;23.350000;0.000000
Кумертау-Ермолаево;102;31.430000;45.910000;21.420000;1.240000
Туймазы- Октябрьский- Серафимовский;2;10.850000;43.400000;37.980000;7.770000
Стерлитамак - с/х Рощинский;111;22.590000;41.030000;30.810000;5.560000
"""Стерлитамак - Сады """"Ясное 2""""""";157-2;45.760000;33.110000;21.130000;0.000000
Кумертау-Мелеуз;101;22.740000;43.270000;29.640000;4.340000
сан. Красноусольск-Стерлитамак ч/з рынок;282 к;16.130000;50.900000;32.250000;0.720000
Октябрьский-Туймазы;106;19.550000;50.090000;28.730000;1.640000
Уфа (Южный автовокзал) - Шипово;124;40.080000;32.430000;26.850000;0.650000
Уфа (Северный автовокзал)- Тикеево;139;27.160000;33.950000;29.630000;9.260000
Уфа (Южный автовокзал) - Ц.Рынок - Миловка;112;43.310000;33.020000;23.660000;0.000000
"""Уфа - Сады """"Нарат""""""";152;29.830000;1.680000;68.490000;0.000000
"""Стерлитамак - Сады """"Каучук 5/3""""""";157-б;29.030000;35.810000;35.170000;0.000000
Нефтекамск-Зубовка с/о;111;26.420000;26.650000;40.090000;6.830000
"""Стерлитамак - Сады """"Рощинский""""""";162;36.520000;33.170000;30.310000;0.000000
Нефтекамск-Ст. Буртюк;105а;34.060000;29.680000;36.250000;0.000000
Уфа - Янаул ч/з зап. Развилку;584;43.170000;39.150000;14.760000;2.930000
Нефтекамск-Амзя;116;12.320000;43.780000;33.540000;10.370000
Уфа (К.Рынок)-Ст.Черкассы;111;37.470000;47.770000;14.760000;0.000000
Чишмы-Уфа;151;38.920000;34.260000;24.180000;2.640000
Уфа (Южный автовокзал) - Б.Славы - Авдон;122;51.450000;22.890000;25.660000;0.000000
Уфа (Южный автовокзал) - Нижегородка;164;73.270000;14.340000;12.390000;0.000000
"""Стерлитамак - Сады """"Строитель 3""""""";158;31.820000;33.690000;34.490000;0.000000
Стерлитамак - Сады Аэропорт 2;110-2;30.810000;36.970000;32.210000;0.000000
"""Стерлитамак - Сады """"Ильмень""""""";125;12.970000;61.380000;25.650000;0.000000
Уфа - Караидель ч/з Благовещенск;577;9.860000;73.770000;16.380000;0.000000
Уфа - Суровка;107;30.670000;47.240000;22.090000;0.000000
Туймазы - НижнеЗаитово;108;28.880000;41.170000;27.960000;2.000000
Бакалы - Октябрьский;618;22.970000;43.590000;33.440000;0.000000
Уфа - Кумлекулево;113;49.030000;7.310000;43.660000;0.000000
Уфа - Октябрьский через Туймазы;600 Т;19.900000;40.300000;39.800000;0.000000
Нефтекамск-Красный Холм;115;24.230000;41.300000;34.470000;0.000000
Чекмагуш-Дюртюли;202;14.910000;57.020000;28.070000;0.000000
Туймазы - Уфа;590;15.330000;40.820000;32.440000;11.410000
Нефтекамск - Бирск;671;20.770000;45.590000;33.270000;0.370000
Уфа - Агидель;586;15.730000;45.510000;38.760000;0.000000
Стерлитамак - Шеверли;117;12.960000;56.670000;25.730000;4.640000
"""Стерлитамак - Сады """"Веселое""""""";126;28.680000;50.780000;20.540000;0.000000
Мелеуз-Федоровка;229;20.710000;53.250000;26.040000;0.000000
Приютово - Октябрьский;717;23.430000;44.040000;32.530000;0.000000
Уфа - Сибай;798;21.850000;66.180000;11.970000;0.000000
Бирск - Уфа ч/з Зап. развилку;535;20.210000;39.370000;35.370000;5.050000
сан. Красноусольск - Уфа;552С;12.930000;43.970000;37.500000;5.600000
Стерлитамак - Максимовка - Алга;298;9.700000;46.770000;32.970000;10.560000
Октябрьский - Стерлитамак через Туймазы;822;36.240000;29.040000;33.620000;1.090000
Уфа - В. Татышлы;547;39.170000;45.950000;14.440000;0.440000
Федоровка АС- Салават АВ;500;16.340000;40.840000;42.830000;0.000000
Стерлитамак - Золотоношка;281;20.750000;48.110000;22.410000;8.730000
Уфа - Кумертау;591;16.040000;36.320000;46.230000;1.420000
Уфа (Южный автовокзал) - Таптыково;164 Т;46.000000;15.250000;36.080000;2.660000
Стерлитамак - Мебельный;106;27.490000;42.090000;29.200000;1.220000
Октябрьский - Уфа экспресс;600;22.770000;57.070000;20.160000;0.000000
Стерлитамак АВ-сан. Красноусольский;282;23.940000;47.610000;28.460000;0.000000
"""Стерлитамак - Сады """"Майские""""""";109;29.410000;45.450000;25.130000;0.000000
Янаул - Октябрьский;744;44.390000;36.360000;11.760000;7.490000
Стерлитамак - Янгискаин;119;36.560000;28.490000;34.950000;0.000000
Стерлитамак АВ - Талачево;113;41.600000;34.990000;23.420000;0.000000
Сибай-Кусеево;114;26.740000;48.750000;13.090000;11.420000
Уфа - Аскино ч/з Благовещенск;567;21.070000;42.730000;35.910000;0.300000
"""Уфа фирма МИР - Сады """"Демские""""""";135;48.750000;0.000000;51.250000;0.000000
Федоровка АС-Стерлитамак АВ ч\з Стерлибашево АС;503;10.060000;72.400000;17.530000;0.000000
Уфа - Мишкино ч/з Зап. развилку;557;17.060000;63.880000;19.060000;0.000000
Петровск-Макарово-Стерлитамак;103;33.450000;60.140000;6.410000;0.000000
Мелеуз-В.Биккузино;242;8.630000;51.080000;40.290000;0.000000
Уфа - Караидель ч/з Зап. развилку;577;37.910000;20.940000;41.160000;0.000000
"""Уфа - Сады """"Лесная поляна""""""";123;50.000000;2.940000;47.060000;0.000000
Шаран - Уфа ч/з Чекмагуш;809;26.490000;48.880000;22.010000;2.610000
Уфа - Янаул;584;9.810000;21.510000;68.680000;0.000000
Кармаскалы- Уфа (Южный автовокзал);253 к;22.640000;50.940000;26.420000;0.000000
Дюртюли - Уфа;536;33.330000;30.680000;35.980000;0.000000
