1;001(ж/д) Дёма - Шакша;Дёма - Шакша;>;Дёма;NULL;1
2;001(ж/д) Дёма - Шакша;Дёма - Шакша;>;Дёма-2;NULL;2
3;001(ж/д) Дёма - Шакша;Дёма - Шакша;>;пл. Правая Белая;NULL;3
4;001(ж/д) Дёма - Шакша;Дёма - Шакша;>;Уфа;NULL;4
5;001(ж/д) Дёма - Шакша;Дёма - Шакша;>;пл. Воронки;NULL;5
6;001(ж/д) Дёма - Шакша;Дёма - Шакша;>;пл. 1629 км;NULL;6
7;001(ж/д) Дёма - Шакша;Дёма - Шакша;>;пл. Парковая;NULL;7
8;001(ж/д) Дёма - Шакша;Дёма - Шакша;>;Черниковка;NULL;8
9;001(ж/д) Дёма - Шакша;Дёма - Шакша;>;пл. Спортивная;NULL;9
10;001(ж/д) Дёма - Шакша;Дёма - Шакша;>;пл. Правая Уфимка;NULL;10
11;001(ж/д) Дёма - Шакша;Дёма - Шакша;>;Шакша;NULL;11
1;001(ж/д) Дёма - Шакша;Шакша - Дёма;<;Шакша;NULL;1
2;001(ж/д) Дёма - Шакша;Шакша - Дёма;<;пл. Правая Уфимка;NULL;2
3;001(ж/д) Дёма - Шакша;Шакша - Дёма;<;пл. Спортивная;NULL;3
4;001(ж/д) Дёма - Шакша;Шакша - Дёма;<;Черниковка;NULL;4
5;001(ж/д) Дёма - Шакша;Шакша - Дёма;<;пл. Парковая;NULL;5
6;001(ж/д) Дёма - Шакша;Шакша - Дёма;<;пл. 1629 км;NULL;6
7;001(ж/д) Дёма - Шакша;Шакша - Дёма;<;пл. Воронки;NULL;7
8;001(ж/д) Дёма - Шакша;Шакша - Дёма;<;Уфа;NULL;8
9;001(ж/д) Дёма - Шакша;Шакша - Дёма;<;пл. Правая Белая;NULL;9
10;001(ж/д) Дёма - Шакша;Шакша - Дёма;<;Дёма-2;NULL;10
11;001(ж/д) Дёма - Шакша;Шакша - Дёма;<;Дёма;NULL;11
1;002(ж/д) Дёма - Уфа;Дёма - Уфа;>;Дёма;NULL;1
2;002(ж/д) Дёма - Уфа;Дёма - Уфа;>;Дёма-2;NULL;2
3;002(ж/д) Дёма - Уфа;Дёма - Уфа;>;пл. Левая Белая;NULL;3
4;002(ж/д) Дёма - Уфа;Дёма - Уфа;>;пл. Правая Белая;NULL;4
5;002(ж/д) Дёма - Уфа;Дёма - Уфа;>;Уфа;NULL;5
1;002(ж/д) Дёма - Уфа;Уфа - Дёма;<;Уфа;NULL;1
2;002(ж/д) Дёма - Уфа;Уфа - Дёма;<;пл. Правая Белая;NULL;2
3;002(ж/д) Дёма - Уфа;Уфа - Дёма;<;пл. Левая Белая;NULL;3
4;002(ж/д) Дёма - Уфа;Уфа - Дёма;<;Дёма-2;NULL;4
5;002(ж/д) Дёма - Уфа;Уфа - Дёма;<;Дёма;NULL;5
1;003(ж/д) Уфа - Шакша;Уфа - Шакша;>;Уфа;NULL;1
2;003(ж/д) Уфа - Шакша;Уфа - Шакша;>;пл. Воронки;NULL;2
3;003(ж/д) Уфа - Шакша;Уфа - Шакша;>;пл. 1629 км;NULL;3
4;003(ж/д) Уфа - Шакша;Уфа - Шакша;>;пл. Парковая;NULL;4
5;003(ж/д) Уфа - Шакша;Уфа - Шакша;>;Черниковка;NULL;5
6;003(ж/д) Уфа - Шакша;Уфа - Шакша;>;пл. Спортивная;NULL;6
7;003(ж/д) Уфа - Шакша;Уфа - Шакша;>;пл. Правая Уфимка;NULL;7
8;003(ж/д) Уфа - Шакша;Уфа - Шакша;>;Шакша;NULL;8
1;003(ж/д) Уфа - Шакша;Шакша - Уфа;<;Шакша;NULL;1
2;003(ж/д) Уфа - Шакша;Шакша - Уфа;<;пл. Правая Уфимка;NULL;2
3;003(ж/д) Уфа - Шакша;Шакша - Уфа;<;пл. Спортивная;NULL;3
4;003(ж/д) Уфа - Шакша;Шакша - Уфа;<;Черниковка;NULL;4
5;003(ж/д) Уфа - Шакша;Шакша - Уфа;<;пл. Парковая;NULL;5
6;003(ж/д) Уфа - Шакша;Шакша - Уфа;<;пл. 1629 км;NULL;6
7;003(ж/д) Уфа - Шакша;Шакша - Уфа;<;пл. Воронки;NULL;7
8;003(ж/д) Уфа - Шакша;Шакша - Уфа;<;Уфа;NULL;8
1;Г 009 Северный автовокзал - Пос. Турбаслы;Пос. Турбаслы - Северный автовокзал;>;ул. Молодежная;NULL;1
2;Г 009 Северный автовокзал - Пос. Турбаслы;Пос. Турбаслы - Северный автовокзал;>;Старые Турбаслы;NULL;2
21;Г 009 Северный автовокзал - Пос. Турбаслы;Северный автовокзал - Пос. Турбаслы;<;Старые Турбаслы;NULL;21
22;Г 009 Северный автовокзал - Пос. Турбаслы;Северный автовокзал - Пос. Турбаслы;<;ул. Молодежная;NULL;22
14;Г 018(Тб) Эко-парк Сосны - ТК Центральный;ТК Центральный - Эко-парк Сосны;<;Кооператив;NULL;14
15;Г 018(Тб) Эко-парк Сосны - ТК Центральный;ТК Центральный - Эко-парк Сосны;<;Гора;NULL;15
1;Г 018(Тб) Эко-парк Сосны - ТК Центральный;Эко-парк Сосны - ТК Центральный;>;Гора;NULL;1
2;Г 018(Тб) Эко-парк Сосны - ТК Центральный;Эко-парк Сосны - ТК Центральный;>;Кооператив;NULL;2
5;Г 034 Ул. Гилева - Узловая автобаза;Узловая автобаза - Ул. Гилева;<;Мкр. «Яркий»;NULL;5
10;Г 034 Ул. Гилева - Узловая автобаза;Ул. Гилева - Узловая автобаза;>;Мкр. «Яркий»;NULL;10
4;Г 043 Северный автовокзал - Новые Черкассы;Новые Черкассы - Северный автовокзал;<;Сад №3;NULL;4
16;Г 043 Северный автовокзал - Новые Черкассы;Северный автовокзал - Новые Черкассы;>;Сад №3;NULL;16
1;Г 057А Уфимское управление буровых работ - Больница №21;Больница №21 - Уфимское управление буровых работ;<;Железнодорожная станция Дёма-2;NULL;1
11;Г 057А Уфимское управление буровых работ - Больница №21;Уфимское управление буровых работ - Больница №21;>;Железнодорожная станция Дёма-2;NULL;11
7;Г 073 Больница №21 - ТЦ МЕГА-УФА;ТЦ МЕГА-УФА - Больница №21;>;Уфаархпроект;NULL;7
1;Г 203 Кузнецовский затон - ТРЦ Планета;Кузнецовский затон - ТРЦ Планета;>;Кузнецовский затон;NULL;1
4;Г 203 Кузнецовский затон - ТРЦ Планета;Кузнецовский затон - ТРЦ Планета;>;Гипермаркет «Лента»;NULL;4
19;Г 203 Кузнецовский затон - ТРЦ Планета;ТРЦ Планета - Кузнецовский затон;<;Гипермаркет «Лента»;NULL;19
22;Г 203 Кузнецовский затон - ТРЦ Планета;ТРЦ Планета - Кузнецовский затон;<;Автосервис;NULL;22
23;Г 203 Кузнецовский затон - ТРЦ Планета;ТРЦ Планета - Кузнецовский затон;<;Кузнецовский затон;NULL;23
2;Г 204 Улица Вологодская - Больница №18;Больница №18 - Улица Вологодская;<;Улица Блюхера;NULL;2
21;Г 204 Улица Вологодская - Больница №18;Улица Вологодская - Больница №18;>;Улица Блюхера;NULL;21
10;Г 205 Улица Парковая - Телецентр;Телецентр - Улица Парковая;<;Уфаархпроект;NULL;10
11;Г 205 Улица Парковая - Телецентр;Улица Парковая - Телецентр;>;Уфаархпроект;NULL;11
19;Г 205 Улица Парковая - Телецентр;Улица Парковая - Телецентр;>;БГУ;NULL;19
1;Г 206 Паромная переправа -Базилевские сады;Базилевские сады - Паромная переправа;<;Сады №41 и 32;NULL;1
2;Г 206 Паромная переправа -Базилевские сады;Базилевские сады - Паромная переправа;<;Сады №27 и 39;NULL;2
3;Г 206 Паромная переправа -Базилевские сады;Базилевские сады - Паромная переправа;<;Сады №43 (Ольховка);NULL;3
4;Г 206 Паромная переправа -Базилевские сады;Базилевские сады - Паромная переправа;<;Сады №14;NULL;4
5;Г 206 Паромная переправа -Базилевские сады;Базилевские сады - Паромная переправа;<;Сады №25;NULL;5
6;Г 206 Паромная переправа -Базилевские сады;Базилевские сады - Паромная переправа;<;Сады №19;NULL;6
7;Г 206 Паромная переправа -Базилевские сады;Базилевские сады - Паромная переправа;<;Сады №9;NULL;7
8;Г 206 Паромная переправа -Базилевские сады;Базилевские сады - Паромная переправа;<;Сады Сосенка;NULL;8
9;Г 206 Паромная переправа -Базилевские сады;Базилевские сады - Паромная переправа;<;Переправа ДОК;NULL;9
1;Г 206 Паромная переправа -Базилевские сады;Паромная переправа - Базилевские сады;>;Переправа ДОК;NULL;1
2;Г 206 Паромная переправа -Базилевские сады;Паромная переправа - Базилевские сады;>;Сады Сосенка;NULL;2
3;Г 206 Паромная переправа -Базилевские сады;Паромная переправа - Базилевские сады;>;Сады №9;NULL;3
4;Г 206 Паромная переправа -Базилевские сады;Паромная переправа - Базилевские сады;>;Сады №19;NULL;4
5;Г 206 Паромная переправа -Базилевские сады;Паромная переправа - Базилевские сады;>;Сады №25;NULL;5
6;Г 206 Паромная переправа -Базилевские сады;Паромная переправа - Базилевские сады;>;Сады №14;NULL;6
7;Г 206 Паромная переправа -Базилевские сады;Паромная переправа - Базилевские сады;>;Сады №43 (Ольховка);NULL;7
8;Г 206 Паромная переправа -Базилевские сады;Паромная переправа - Базилевские сады;>;Сады №27 и 39;NULL;8
9;Г 206 Паромная переправа -Базилевские сады;Паромная переправа - Базилевские сады;>;Сады №41 и 32;NULL;9
1;Г 207 Уфимский ДОК - ТРЦ Планета;Уфимский ДОК - ТСК Пушкинский;<;Уфимский ДОК;NULL;1
1;Г 217 Северный автовокзал - п. Максимовка;п. Максимовка - Северный автовокзал;<;Спивакова;NULL;1
26;Г 217 Северный автовокзал - п. Максимовка;Северный автовокзал - п. Максимовка;>;Спивакова;NULL;26
1;Г 218 Микрорайон Дема (Ул. Гилева) - Дема-2;Больница №18 - Микрорайон Дема (Ул. Гилева);<;Железнодорожная станция Дёма-2;NULL;1
18;Г 218 Микрорайон Дема (Ул. Гилева) - Дема-2;Больница №18 - Микрорайон Дема (Ул. Гилева);<;ул. Гилёва (конечная);NULL;18
1;Г 218 Микрорайон Дема (Ул. Гилева) - Дема-2;Микрорайон Дема (Ул. Гилева) - Больница №18;>;ул. Гилёва (конечная);NULL;1
18;Г 218 Микрорайон Дема (Ул. Гилева) - Дема-2;Микрорайон Дема (Ул. Гилева) - Больница №18;>;Железнодорожная станция Дёма-2;NULL;18
33;Г 220 Профилакторий «Радуга» - Южный автовокзал;Профилакторий «Радуга» - Южный автовокзал;<;Профилакторий «Радуга»;NULL;33
1;Г 220 Профилакторий «Радуга» - Южный автовокзал;Южный автовокзал - Профилакторий «Радуга»;>;Профилакторий «Радуга»;NULL;1
4;Г 229 Оздоровительный комплекс «Сипайловский» - Торгово-сервисный комплекс «Северный» - Химпром;Оздоровительный комплекс «Сипайловский» - Торгово-сервисный комплекс «Северный» - Химпром;>;Академика Королёва;NULL;4
14;Г 229 Оздоровительный комплекс «Сипайловский» - Торгово-сервисный комплекс «Северный» - Химпром;Химпром -  Торгово-сервисный комплекс «Северный» - Оздоровительный комплекс «Сипайловский»;<;ДК Химиков;NULL;14
27;Г 229 Оздоровительный комплекс «Сипайловский» - Торгово-сервисный комплекс «Северный» - Химпром;Химпром -  Торгово-сервисный комплекс «Северный» - Оздоровительный комплекс «Сипайловский»;<;ТК Терем;NULL;27
8;Г 236 Филиал «Уфагаз» ОАО «Газсервис» (Уфагаз) - Ледовый дворец «Уфа-Арена» - Микрорайон Шакша;Микрорайон Шакша - Ледовый дворец «Уфа-Арена» - Филиал «Уфагаз» ОАО «Газсервис» (Уфагаз);<;Микрорайон «Федоровка»;NULL;8
9;Г 236 Филиал «Уфагаз» ОАО «Газсервис» (Уфагаз) - Ледовый дворец «Уфа-Арена» - Микрорайон Шакша;Микрорайон Шакша - Ледовый дворец «Уфа-Арена» - Филиал «Уфагаз» ОАО «Газсервис» (Уфагаз);<;д. Карпово;NULL;9
15;Г 236 Филиал «Уфагаз» ОАО «Газсервис» (Уфагаз) - Ледовый дворец «Уфа-Арена» - Микрорайон Шакша;Микрорайон Шакша - Ледовый дворец «Уфа-Арена» - Филиал «Уфагаз» ОАО «Газсервис» (Уфагаз);<;Гипермаркет «Лента»;NULL;15
16;Г 236 Филиал «Уфагаз» ОАО «Газсервис» (Уфагаз) - Ледовый дворец «Уфа-Арена» - Микрорайон Шакша;Филиал «Уфагаз» ОАО «Газсервис» (Уфагаз) - Ледовый дворец «Уфа-Арена» - Микрорайон Шакша;>;Гипермаркет «Лента»;NULL;16
22;Г 236 Филиал «Уфагаз» ОАО «Газсервис» (Уфагаз) - Ледовый дворец «Уфа-Арена» - Микрорайон Шакша;Филиал «Уфагаз» ОАО «Газсервис» (Уфагаз) - Ледовый дворец «Уфа-Арена» - Микрорайон Шакша;>;д. Карпово;NULL;22
