"Уфа - П/т ""Автомобилист""";8;2928;1139
"Уфа - с/х ""Шемяк""";0;2308;0
"Уфа - Сады ""Бачурино""";0;183;110
"Уфа - Сады ""Каряка""";0;1718;330
"Уфа - Сады ""Лесная поляна""";0;940;0
"Уфа - Сады ""Нарат""";9;5521;1134
"Уфа - Сады ""Факел""";0;1820;0
"Уфа фирма МИР - Сады ""Демские""";35;1506;11
"Уфа южный АВ - Сады ""Юматово""";0;441;0
Белебей - Уфа;0;1575;828
Бижбуляк - Уфа ч/з Аксеново;0;5305;120
Бирск - Уфа ч/з Зап. развилку;0;15454;448
Благовещенск-Уфа (Гимназия им.Гарипова);0;0;7681
Дюртюли - Уфа;0;4438;947
Исянгулово - Уфа;0;2230;3718
Калтасы - Уфа;0;293;84
Красноусольск - Уфа;0;2;0
Мелеуз - Уфа;0;1566;164
Нефтекамск АВ - Уфа (Южный автовокзал);0;38953;19444
Октябрьский - Уфа экспресс;2;11719;1096
Русский Юрмаш - Уфа (Южный автовокзал);1967;6408;552
Саит-Баба-Уфа;0;3838;395
сан. Красноусольск - Уфа;1;13556;909
Туймазы - Уфа;0;12951;1586
Туймазы - Уфа через Кандры;0;6813;668
Уфа - Агидель;0;9392;4238
Уфа - Акъяр;0;2231;4401
Уфа - Александровка;0;1052;0
Уфа - Архангельское ч/з Булгаково;0;4479;269
Уфа - Архангельское ч/з Кабаково;0;3442;325
Уфа - Аскино ч/з Благовещенск;0;7241;4761
Уфа - Аскино ч/з Зап. развилку;0;2345;2284
Уфа - Балагушево;3;1690;16
Уфа - Белебей;0;4528;213
Уфа - Бирск ч/з Благовещенск;0;4841;1071
Уфа - Бураево ч/з Зап. развилку;0;1725;836
Уфа - В. Татышлы;0;8740;4237
Уфа - Валентиновка;8;3155;683
Уфа - Кандры;0;1933;32
Уфа - Караидель ч/з Благовещенск;1;9420;7440
Уфа - Караидель ч/з Зап. развилку;0;7121;2090
Уфа - Кумертау;2;6357;4529
Уфа - Кумлекулево;0;10067;5181
Уфа - Кушнаренково;0;56851;13796
Уфа - Мишкино ч/з Зап. развилку;0;4201;2061
Уфа - Мраково;0;1189;2264
Уфа - Нефтекамск б/з в Дюртюли;0;1085;19
Уфа - Октябрьский через Серафимовку;0;1812;22
Уфа - Октябрьский через Туймазы;0;14643;3754
Уфа - Сады УАИ;0;128;0
Уфа - Салават через Ишимбай;0;1135;18
Уфа - Сибай;0;4063;10645
Уфа - Учалы;4;2139;1680
Уфа - Федоровка;0;4286;2023
Уфа - Фомичево;0;252;0
Уфа - Янаул;0;3735;3453
Уфа - Янаул ч/з зап. Развилку;0;12916;10005
Уфа - Янаул ч/з Кр. Холм;0;644;263
Уфа (К.Рынок)-Иглино;0;350;4818
Уфа (Северный автовокзал)- Тикеево;0;3330;0
Уфа (Северный автовокзал)-Федоровка;0;222;0
Уфа (фирма МИР) - Кармасан;124;0;924
Уфа (Южный автовокзал) - сан. Алкино;0;1768;0
Уфа (Южный автовокзал) - Федоровка;377;691;495
Уфа (Южный автовокзал)-Енгалышево;0;4929;0
Уфа -Стерлитамак;0;4178;272
Уфа южный АВ - Бузовьязы;0;395;0
Уфа Южный АВ - Мусино;0;9957;0
Уфа Южный АВ - Первушино;0;2615;297
Чишмы-Уфа;0;0;15072
Шаран - Уфа ч/з Чекмагуш;0;7797;1328
