М 109 Кумертау - Тимербаево;37;43
М 110 Кумертау - Михайловка;35;43
М 115 Дюртюли - Бирск (переправа);41,9;47,2
М 115 Нефтекамск - Красный Холм;29,2;43
М 118 Кумертау - Мраково;45,9;51,5
М 122 Сибай - Исяново;40,7;43,4
М 145 Стерлитамак - Белое озеро - Антоновка;38;43,5
М 149 Стерлитамак - Стерлибашево;40;48
М 170 Стерлитамак - Стерлибашево - Янгурча;35;43
М 171 Федоровка - Салават;45;48,1
М 185 Стерлитамак - Стерлибашево - Булаж;35;43
М 190 Стерлитамак - Зилим-Караново;45;50,6
М 201 Стерлитамак - Кабакуш;45;52,4
М 220 Стерлитамак АВ - Коварды;50;56,8
М 225 Мелеуз - Мраково;39,4;43,2
М 225 Стерлитамак АВ - Юмагузино;45;52
М 229 Мелеуз - Федоровка;38;43
М 240 Стерлитамак АВ - Саитбаба;60;69,2
М 242 Мелеуз - В. Биккузино;38,5;43
М 244 Стерлитамак АВ - Тавричанка;40;43,7
М 250 Стерлитамак АВ - Красноармейский;45;49,6
М 501 Стерлитамак АВ - Кабакуш - Стерлибашево АС - Николаевка - Стерлитамак;43;49,7
М 503 Федоровка АС - Стерлитамак АВ ч\з Стерлибашево АС;42;45,3
М 510 Стерлитамак АВ - Наумкино - Толбазы АС;38;43
М 533 Уфа (Южный АВ) - Чекмагуш;44,2;45,4
М 536 Уфа (Южный АВ) - Дюртюли;55,8;57,4
М 554 Уфа (Южный АВ) - Красный Холм;50;50,9
М 557 Уфа (Южный АВ) - Мишкино ч/з Зап. развилку;50,9;55,5
М 564 Уфа (Южный АВ) - Колтасы;50;51,2
М 567 Уфа (Южный АВ) - Аскино ч/з Зап. развилку;49,1;52,8
М 570 К Янаул - Бураево;45;45,9
М 577 Уфа (Южный АВ) - Караидель ч/з зап. развилку;44,1;47,1
М 584 Уфа (Южный АВ) - Янаул ч/з западную развилку;47,3;48,4
М 584 Уфа (Южный АВ) - Янаул ч/з Кр. Холм;46,5;47,7
М 586 Уфа (Южный АВ) - Агидель;46,1;47,1
М 588 Уфа (Южный АВ) - Нефтекамск АВ;35,2;43
М 594 Уфа (Южный АВ) - Бураево ч/з зап. развилку;51,7;54,7
М 618 Бакалы - Октябрьский;38,3;43,4
М 619 Октябрьский - Белебей;42,4;45,3
М 621 Октябрьский - Ермекеево;27,9;43
М 626 Октябрьский - Нефтекамск;48,9;52,2
М 629 Бакалы - Туймазы;37,4;43
М 633 Белебей - Туймазы;34,2;43
М 645 Бижбуляк - Белебей;41,1;45,2
М 653 Караидель - Бирск;60,1;66,6
М 671 Нефтекамск - Бирск;43,8;44,9
М 672 Нефтекамск - Бураево;35,9;43
М 674 Дюртюли - Нефтекамск;52,3;53,9
М 675 Нефтекамск - В. Татышлы - Ст. Балтачево;37,1;43
М 680 Стерлитамак АВ - Стерлибашево Ас - Уч. Асан;50;57,7
М 698 сан. Красноусольск - Салават;39;43
М 717 Приютово - Октябрьский;36,8;43
