М 109 Кумертау - Тимербаево;Кумертау АВ, Ермолаево, Маячный, Сандин-1, Сандин-2, Якупово, Абдулово, Кинзебизово, Тимербаево;Тимербаево, Кинзебизово, Абдулово, Якупово, Сандин-2, Сандин-1, Маячный, Ермолаево, Кумертау АВ
М 110 Кумертау - Михайловка;Кумертау АВ, Малое Мусино, Новое Мусино, Лена, Ялчикаево, Таймасово, Зяк-Ишметово, Марьевка, Михайловка;Михайловка, Марьевка, Зяк-Ишметово, Таймасово, Ялчикаево, Лена, Новое Мусино, Малое Мусино, В. огонь, Дуслык, Кумертау АВ
М 115 Дюртюли - Бирск (переправа);Дюртюли АВ, Суккулово, Юкалекулево, пер. Москово, Тартыш, д. Чишма, Акудибашево, Пеньково, Новодесяткино, Бирск (переправа), Кусекеево, Кандаковка, Бирск (переправа);Бирск (переправа), Кандаковка, Кусекеево, Новодесяткино, Пеньково, Акудибашево, д. Чишма, Тартыш, пер. Москово, Юкалекулево, Суккулово, Дюртюли АВ
М 115 Нефтекамск - Красный Холм;Нефтекамск АВ, Кутлинка, Кариево, Кутерем, Кельтей, Тыхтем, Кокуш, Качмаш, Калтасы, Калмаш, Киебак, Краснохолмская АС, Красный Холм АС;Красный Холм АС, Краснохолмская АС, Киебак, Калмаш, Калтасы, Качмаш, Кокуш, Тыхтем, Кельтей, Кутерем, Кариево, Кутлинка, Нефтекамск АВ
М 118 Кумертау - Мраково;Кумертау АВ, Ира, Бугульчан, Ковалевка, Худайбердино, Ядгарово, Калдарово, Воскресенское, Давлетша, Ибраево, Мраково АС;Мраково АС, Ибраево, Давлетша, Воскресенское, Калдарово, Ядгарово, Худайбердино, Ковалевка, Бугульчан, Ира МГ, Дуслык, Кумертау АВ
М 122 Сибай - Исяново;Сибай АВ, Хасаново, Галеево, Файзуллино, Баймак АВ, Мерясово, Бахтигареево, Исяново;Исяново, Бахтигареево, Мерясово , Баймак АВ, Файзуллино, Галеево, Хасаново, Сибай АВ
М 145 Стерлитамак - Белое озеро - Антоновка;"Стерлитамак АВ, кольцо ОАО Сода, ""Савхоз """"Мичурина"""" "", Косяковка, Танеевка, Новый Краснояр, Большой Куганак, Покровка, Русский Саскуль, пов. Тат. Саскуль, Уваровка , пов. Белое Озеро , Антоновка";"Антоновка, пов. Белое Озеро , Уваровка, пов. Тат. Саскуль, Русский Саскуль, Покровка, Большой Куганак, Новый Краснояр, Танеевка, Косяковка, ""Савхоз """"Мичурина"""" "", кольцо ОАО Сода, Стерлитамак АВ"
М 149 Стерлитамак - Стерлибашево;Стерлитамак АВ, Колхозный Рынок, Рабочий поселок, Ашкадар, Веселое, Преображеновка, пов. Стерлитамакский, Николаевка, Баимово МГ, Корнеевка, Н.Калкаш, С.Калкаш, Пов. Куганакбаш, Ибракаево, Максютово МГ, Поворот на Первомайский, Стерлибашево АС;Стерлибашево АС, Поворот на Первомайский, Максютово МГ, Ибракаево, Пов. Куганакбаш, С.Калкаш, Н.Калкаш, Корнеевка, Баимово МГ, Николаевка, пов. Стерлитамакский, Преображеновка, Веселое, Ашкадар, Рабочий поселок, Колхозный Рынок, Стерлитамак АВ
М 170 Стерлитамак - Стерлибашево - Янгурча;Стерлитамак АВ МГ, Колхозный Рынок, Рабочий поселок, Ашкадар, Веселое, Преображеновка, пов. Стерлитамакский, Николаевка, Баимово МГ, Корнеевка, Н.Калкаш, С.Калкаш, Пов. Куганакбаш, Ибракаево, Максютово МГ, Поворот на Первомайский, Стерлибашево АС, Тятербашево МГ, Турмаево МГ, Янгурча МГ;Янгурча МГ, Турмаево МГ, Тятербашево МГ, Стерлибашево АС, Поворот на Первомайский, Максютово МГ, Ибракаево, Пов. Куганакбаш, С.Калкаш, Н.Калкаш, Корнеевка, Баимово МГ, Николаевка, пов. Стерлитамакский, Преображеновка, Веселое, Ашкадар, Рабочий поселок, Колхозный Рынок, Стерлитамак АВ МГ
М 185 Стерлитамак - Стерлибашево - Булаж;Стерлитамак АВ, Колхозный Рынок, Рабочий поселок, Ашкадар, Веселое, Преображеновка, пов. Стерлитамакский, Николаевка, Баимово МГ, Корнеевка, Н.Калкаш, С.Калкаш, Пов. Куганакбаш, Ибракаево, Максютово МГ, Поворот на Первомайский, Стерлибашево АС, Мухаметдаминово, Булаж;Булаж, Мухаметдаминово, Стерлибашево АС, Поворот на Первомайский, Максютово МГ, Ибракаево, Пов. Куганакбаш, С.Калкаш, Н.Калкаш, Корнеевка, Баимово МГ, Николаевка, пов. Стерлитамакский, Преображеновка, Веселое, Ашкадар, Рабочий поселок, Колхозный Рынок, Стерлитамак АВ
М 190 Стерлитамак - Зилим-Караново;Стерлитамак АВ, Косяковка, Танеевка, Новый Краснояр, Куганак, Покровка, Русский Саскуль, Цапаловка, Табынское, Павловка, Березовка, Бурлы, Явгильды, Зириково, пов. на Юлуково, Зилим Караново;Зилим Караново, пов. на Юлуково, Зириково, Явгильды, Бурлы, Березовка, Павловка, Табынское, Цапаловка, Русский Саскуль, Покровка, Куганак, Новый Краснояр, Танеевка, Косяковка, Стерлитамак АВ
