М 109 Кумертау - Тимербаево;<;"а.д. Тимербаево - Абдулово, а.д. 80Н-387 ""Маячный - Абдулово"", Шоссейная ул. (Маячный), а.д. 80Н-383 ""Ермолаево - Маячный"", Ленина ул. (Ермолаево), Советская ул. (Ермолаево), Карла Маркса ул. (Кумертау), Бабаевская ул. (Кумертау)"
М 109 Кумертау - Тимербаево;>;"Бабаевская ул. (Кумертау), Карла Маркса ул. (Кумертау), Советская ул. (Ермолаево), Ленина ул. (Ермолаево), а.д. 80Н-383 ""Ермолаево - Маячный"", Шоссейная ул. (Маячный), а.д. 80Н-387 ""Маячный - Абдулово"", а.д. Тимербаево - Абдулово"
М 110 Кумертау - Михайловка;<;"а.д. 80Н-385 ""Маячный - Михайловка"", а.д. Таймасово - Малое Мусино, Вокзальная ул. (Кумертау), 60 лет БАССР ул. (Кумертау), Пушкина ул. (Кумертау), Бабаевская ул. (Кумертау)"
М 110 Кумертау - Михайловка;>;"Бабаевская ул. (Кумертау), Пушкина ул. (Кумертау), 60 лет БАССР ул. (Кумертау), Вокзальная ул. (Кумертау), а.д. Таймасово - Малое Мусино, а.д. 80Н-385 ""Маячный - Михайловка"""
М 115 Дюртюли - Бирск (переправа);<;"а.д. 80Н-008 ""Бирск - Новодесяткино - Чирша - Тартыш"", а.д. 80Н-170 ""Подъезд к с. Кусекеево"", а.д. 80Н-008 ""Бирск - Новодесяткино - Чирша - Тартыш"", а.д. 80Н-036 ""Новодесяткино - Тартышево - М-7 ""Волга"""", 70-летия Октября ул. (Дюртюли), Ленина ул. (Дюртюли), Василия Горшкова ул. (Дюртюли)"
М 115 Дюртюли - Бирск (переправа);>;"Василия Горшкова ул. (Дюртюли), Ленина ул. (Дюртюли), 70-летия Октября ул. (Дюртюли), а.д. 80Н-036 ""Новодесяткино - Тартышево - М-7 ""Волга"""", а.д. 80Н-008 ""Бирск - Новодесяткино - Чирша - Тартыш"", а.д. 80Н-170 ""Подъезд к с. Кусекеево"", а.д. 80Н-008 ""Бирск - Новодесяткино - Чирша - Тартыш"""
М 115 Нефтекамск - Красный Холм;<;"а.д. 80Н-032 ""Красный Холм - Нефтекамск"", Трактовая ул. (Нефтекамск)"
М 115 Нефтекамск - Красный Холм;>;"Трактовая ул. (Нефтекамск), а.д. 80Н-032 ""Красный Холм - Нефтекамск"""
М 118 Кумертау - Мраково;<;"Биишевой ул. (Мраково), Совхозная ул. (Мраково), а.д. 80К-12 ""Магнитогорск - Ира"", а.д. Р-240 ""Уфа - Оренбург"", Шоссейная ул. (Кумертау), Магистральная ул. (Кумертау), Бабаевская ул. (Кумертау)"
М 118 Кумертау - Мраково;>;"Бабаевская ул. (Кумертау), Магистральная ул. (Кумертау), Шоссейная ул. (Кумертау), а.д. Р-240 ""Уфа - Оренбург"", а.д. 80К-12 ""Магнитогорск - Ира"", Совхозная ул. (Мраково), Биишевой ул. (Мраково)"
