"Стерлитамак - Сады ""Веселое""";126;5878
"Стерлитамак - Сады ""Ильмень""";125;9887
"Стерлитамак - Сады ""Каучук 5/3""";157-б;10326
"Стерлитамак - Сады ""Майские""";109;17590
"Стерлитамак - Сады ""Подлесное""";159;3758
"Стерлитамак - Сады ""Рощинский""";162;8766
"Стерлитамак - Сады ""Сосновка""";132;2470
"Стерлитамак - Сады ""Строитель 3""";158;8264
"Стерлитамак - Сады ""Ясное 2""";157-2;13078
"Стерлитамак - Сады ""Ясное""";157;45530
"Уфа - П/т ""Автомобилист""";126;4075
"Уфа - с/х ""Шемяк""";109;5818
"Уфа - Сады ""Лесная поляна""";123;1642
"Уфа - Сады ""Нарат""";152;12250
"Уфа - Сады ""Факел""";111 к;3842
"Уфа фирма МИР - Сады ""Демские""";135;1552
Агидель-Нефтекамск;120;181058
Аскарово- Белорецк;924;3013
Аскарово- Сибай;844;2841
Баймак - Акъяр ч/з Юлдыбаево;939;2276
Бакалы - Октябрьский;618;20751
Бакалы - Туймазы;629;1874
Белебей - Туймазы;633;1787
Белебей - Уфа;530Р;2403
Белебей-М.Москва;132;465
Белебей-Приютово;101;90271
Белебей-Суккулово;117;5150
Белорецк- Миндяк;109;2934
Бижбуляк - Белебей;645;5152
Бижбуляк - Уфа ч/з Аксеново;560;5425
Бирск - Уфа ч/з Зап. развилку;535;15902
Бирск-Баймурзино;127;1625
Бирск-Мишкино;120;4070
В. Яркеево-Дюртюли;110;2559
Верхнеяркеево - Нефтекамск;762;3915
Верхнеяркеево - Туймазы;917;1741
Дюртюли - Уфа;536;5445
Дюртюли- Базитамак;107;6853
Дюртюли-Бирск (переправа);115;7594
Исянгулово - Уфа;611;5948
Ишимбай - Стерлитамак;102;106792
Караидель - Бирск;653;368
Караидель - Нефтекамск;968;791
Кумертау-Ермолаево;102;27684
Кумертау-Кинзебаево;105;3718
Кумертау-Мелеуз;101;30493
Кумертау-Михайловка;110;2834
Кумертау-Мраково;118;1124
Кутлугуза-Стерлитамак;116;852
Мелеуз - Уфа;581;1730
Мелеуз-Мраково;225;5399
Мелеуз-Федоровка;229;15246
Мелеуз-Юмагузино;241;4766
Нефтекамск - Амзя - 9 км;116-2;139118
Нефтекамск - Бирск;671;15560
Нефтекамск - В. Татышлы - Ст. Балтачево;675;224
Нефтекамск - Карманово;112 э;9307
Нефтекамск - Ст. Янзигит ч/з Ст. Мушта;106;8411
Нефтекамск АВ - Уфа (Южный автовокзал);588;58584
Нефтекамск-Амзя;116;30369
Нефтекамск-Зубовка с/о;111;8903
Нефтекамск-Калтасы;113;40050
Нефтекамск-Кармановская ГРЭС;112;108489
Нефтекамск-Карякино;132;3871
Нефтекамск-Красный Холм;115;15099
Нефтекамск-Куяново;102;5757
Нефтекамск-Саузбашево;110;1890
Нефтекамск-Ст.Уразаево с/о;108;9332
Нефтекамск-Янаул;114;118119
Октябрьский - Белебей;619;6820
Октябрьский - Ермекеево;621;4743
Октябрьский - Нефтекамск;626;4465
Октябрьский - Стерлитамак через Туймазы;822;14944
Октябрьский - Туймазы ч/з Нарышево;106;279190
Октябрьский - Уфа экспресс;600;12817
Октябрьский- Серафимовский;12;5192
Октябрьский-Туймазы;106;75921
Октябрьский-Шахово;113;2050
Петровск (Петровское)-Стерлитамак;116;1904
Петровск-Макарово-Стерлитамак;103;4971
Приютово - Октябрьский;717;13099
Приютово - Стерлитамак;623;3654
Русский Юрмаш - Уфа (Южный автовокзал);130;10309
Саит-Баба-Уфа;741;4233
Салават АВ- Стерлитамак АВ;101;225809
Салават-Ишимбай;101 и;72091
Салават-Мелеуз;102;139272
Салават-Сухаревка;106;4308
сан. Красноусольск - Уфа;552С;14729
сан. Красноусольск-Стерлитамак ч/з рынок;282 к;34813
Семилетка-В.Яркеево;105;3194
Сибай - Акъяр ч/з Подольск;750;4505
Сибай - Кумертау;738;1070
Сибай - Стерлитамак;918;7564
Сибай-Баймак;113;64658
Сибай-Исяново;522;52
Сибай-Кусеево;114;9495
Стерлитамак - Золотоношка;281;11091
Стерлитамак - Кармаскалы;122;5046
Стерлитамак - Максимовка - Алга;298;15386
Стерлитамак - Мебельный;106;18064
Стерлитамак - Наумкино;290;8641
Стерлитамак - с/х Рощинский;111;69534
Стерлитамак - Сады Аэропорт 2;110-2;7709
Стерлитамак - Семенкино;115;2862
Стерлитамак - Шеверли;117;15202
Стерлитамак - Янгискаин;119;10044
Стерлитамак (кол. Рынок) - Наумовка;109;46566
Стерлитамак АВ - Талачево;113;15400
Стерлитамак АВ - Янгискаин;119 Т;1446
Стерлитамак АВ-д. Северная;210;573
Стерлитамак АВ-Зилим-Караново;190;855
Стерлитамак АВ-Кабакуш;201;1183
Стерлитамак АВ-Коварды;220;526
Стерлитамак АВ-Красноармейский;250;228
Стерлитамак АВ-Месели-Манеево;116;2631
Стерлитамак АВ-Мраково;205;3346
Стерлитамак АВ-Саитбаба;240;868
Стерлитамак АВ-Салихово ч/з Канакаево;500;284
Стерлитамак АВ-сан. Красноусольский;282;11104
Стерлитамак АВ-Стерлибашево АС;149;5849
Стерлитамак АВ-Стерлибашево Ас - Уч. Асан;680;1226
Стерлитамак АВ-Стерлибашево АС- Янгурча;170;4006
Стерлитамак АВ-Тавричанка;244;15
Стерлитамак АВ-Юмагузино;225;494
Стерлитамак-Белое озеро-Антоновка;145;435
Стерлитамак-Красноусольск АС;282;3160
Туймазы - НижнеЗаитово;108;17485
Туймазы - Уфа;590;14537
Туймазы - Уфа через Кандры;595;7481
Туймазы - Якшаево;1;5706
Туймазы- Октябрьский- Серафимовский;2;44742
Уфа - Агидель;586;13659
Уфа - Акъяр;578;6767
Уфа - Александровка;154;7407
Уфа - Архангельское ч/з Булгаково;582;4750
Уфа - Архангельское ч/з Кабаково;604;3767
Уфа - Аскино ч/з Благовещенск;567;12012
Уфа - Аскино ч/з Зап. развилку;567;4696
Уфа - Балагушево;150;1709
Уфа - Белебей;530;4741
Уфа - Бирск ч/з Благовещенск;534;5912
Уфа - Бураево ч/з Зап. развилку;594;2561
Уфа - В. Татышлы;547;12977
Уфа - Валентиновка;592;3851
Уфа - Кандры;737;1965
Уфа - Караидель ч/з Благовещенск;577;16861
Уфа - Караидель ч/з Зап. развилку;577;9211
Уфа - Кумертау;591;10888
Уфа - Кумлекулево;113;22445
Уфа - Кушнаренково;258;72223
Уфа - Лесхоз;108;86015
Уфа - Мишкино ч/з Зап. развилку;557;6262
Уфа - Мраково;601;3453
Уфа - Нефтекамск б/з в Дюртюли;588;1104
Уфа - Октябрьский через Серафимовку;600 С;1834
Уфа - Октябрьский через Туймазы;600 Т;18397
Уфа - Сибай;798;14748
Уфа - Учалы;593;3901
Уфа - Федоровка;571;6309
Уфа - Янаул;584;7188
Уфа - Янаул ч/з зап. Развилку;584;22921
Уфа - Янаул ч/з Кр. Холм;584;907
Уфа (Северный автовокзал)- Тикеево;139;12012
Уфа (ул. Дзержинского) - Аэропорт;101;229187
Уфа (Южный автовокзал) - Б.Славы - Авдон;122;17031
Уфа (Южный автовокзал) - сан. Алкино;127;5296
Уфа (Южный автовокзал) - Ц.Рынок - Миловка;112;19941
Уфа (Южный автовокзал) - Шипово;124;25894
Уфа (Южный автовокзал)-Енгалышево;142;32409
Уфа -Стерлитамак;531;4450
Уфа Южный АВ - Мусино;120;50425
Уфа Южный АВ - Первушино;117 к;6318
Учалы - Стерлитамак;828;5716
Федоровка АС- Салават АВ;500;11055
Федоровка АС-Стерлитамак АВ ч\з Стерлибашево АС;503;10550
Чекмагуш-Дюртюли;202;15449
Чишмы-Уфа;151;15072
Шаран - Уфа ч/з Чекмагуш;809;9125
Шаран-Туймазы;119;82264
Янаул - Бирск;770;1279
Янаул - Октябрьский;744;10965
Янаул - Чургулды;110 Я;4550
Янаул-Калтасы;102;4078
Янаул-Кармановская ГРЭС;118;5457
Янаул-Кр. Холм;109;5467
"Салават Автовокзал-Сады ""Сухайла""";116;6928
"Уфа - Сады ""Бачурино""";113 к;293
"Уфа - Сады ""Каряка""";156;4633
"Уфа южный АВ - Сады ""Юматово""";114;1038
Алкино-2-Уфа (Хрусталь);127 к;11811
Архангельское - Стерлитамак ч/з З.Караново;919;1126
Белебей - Стерлитамак через Киргиз Мияки;800К;1799
Белорецк - Учалы;805;1881
Бирск-Каргино;123;1449
Благовещенск-Уфа (Гимназия им.Гарипова);104с;7681
Бузовьязы- Уфа (п.Якутова);129 к;6028
Дюртюли - Нефтекамск;674;226
