"Стерлитамак - Сады ""Веселое""";126;855
"Стерлитамак - Сады ""Ильмень""";125;1499
"Стерлитамак - Сады ""Каучук 5/3""";157-б;1521
"Стерлитамак - Сады ""Майские""";109;1402
"Стерлитамак - Сады ""Подлесное""";159;562
"Стерлитамак - Сады ""Рощинский""";162;1432
"Стерлитамак - Сады ""Сосновка""";132;397
"Стерлитамак - Сады ""Строитель 3""";158;1292
"Стерлитамак - Сады ""Ясное 2""";157-2;2082
"Стерлитамак - Сады ""Ясное""";157;6914
"Уфа - П/т ""Автомобилист""";126;348
"Уфа - с/х ""Шемяк""";109;523
"Уфа - Сады ""Лесная поляна""";123;209
"Уфа - Сады ""Нарат""";152;1704
"Уфа - Сады ""Факел""";111 к;492
"Уфа фирма МИР - Сады ""Демские""";135;268
Агидель-Нефтекамск;120;14955
Аскарово- Белорецк;924;185
Аскарово- Сибай;844;180
Баймак - Акъяр ч/з Юлдыбаево;939;40
Бакалы - Октябрьский;618;1367
Бакалы - Туймазы;629;96
Белебей - Туймазы;633;86
Белебей - Уфа;530Р;197
Белебей-М.Москва;132;37
Белебей-Приютово;101;7719
Белебей-Суккулово;117;427
Белорецк- Миндяк;109;268
Бижбуляк - Белебей;645;329
Бижбуляк - Уфа ч/з Аксеново;560;369
Бирск - Уфа ч/з Зап. развилку;535;888
Бирск-Баймурзино;127;79
Бирск-Мишкино;120;282
В. Яркеево-Дюртюли;110;193
Верхнеяркеево - Нефтекамск;762;253
Верхнеяркеево - Туймазы;917;137
Дюртюли - Уфа;536;289
Дюртюли- Базитамак;107;512
Дюртюли-Бирск (переправа);115;700
Исянгулово - Уфа;611;342
Ишимбай - Стерлитамак;102;8653
Караидель - Бирск;653;20
Караидель - Нефтекамск;968;68
Кумертау-Ермолаево;102;2184
Кумертау-Кинзебаево;105;296
Кумертау-Мелеуз;101;1625
Кумертау-Михайловка;110;233
Кумертау-Мраково;118;65
Кутлугуза-Стерлитамак;116;68
Мелеуз - Уфа;581;132
Мелеуз-Мраково;225;378
Мелеуз-Федоровка;229;1019
Мелеуз-Юмагузино;241;441
Нефтекамск - Амзя - 9 км;116-2;13032
Нефтекамск - Бирск;671;936
Нефтекамск - В. Татышлы - Ст. Балтачево;675;22
Нефтекамск - Карманово;112 э;545
Нефтекамск - Ст. Янзигит ч/з Ст. Мушта;106;668
Нефтекамск АВ - Уфа (Южный автовокзал);588;3707
Нефтекамск-Амзя;116;1763
Нефтекамск-Зубовка с/о;111;1412
Нефтекамск-Калтасы;113;3082
Нефтекамск-Кармановская ГРЭС;112;14154
Нефтекамск-Карякино;132;218
Нефтекамск-Красный Холм;115;1141
Нефтекамск-Куяново;102;332
Нефтекамск-Саузбашево;110;143
Нефтекамск-Ст.Уразаево с/о;108;1572
Нефтекамск-Янаул;114;9674
Октябрьский - Белебей;619;334
Октябрьский - Ермекеево;621;365
Октябрьский - Нефтекамск;626;304
Октябрьский - Стерлитамак через Туймазы;822;1063
Октябрьский - Туймазы ч/з Нарышево;106;19336
Октябрьский - Уфа экспресс;600;782
Октябрьский- Серафимовский;12;326
Октябрьский-Туймазы;106;7569
Октябрьский-Шахово;113;150
Петровск (Петровское)-Стерлитамак;116;161
Петровск-Макарово-Стерлитамак;103;480
Приютово - Октябрьский;717;988
Приютово - Стерлитамак;623;241
Русский Юрмаш - Уфа (Южный автовокзал);130;1453
Саит-Баба-Уфа;741;291
Салават АВ- Стерлитамак АВ;101;15408
Салават-Ишимбай;101 и;3571
Салават-Мелеуз;102;8993
Салават-Сухаревка;106;247
сан. Красноусольск - Уфа;552С;1009
сан. Красноусольск-Стерлитамак ч/з рынок;282 к;2409
Семилетка-В.Яркеево;105;232
Сибай - Акъяр ч/з Подольск;750;215
Сибай - Кумертау;738;139
Сибай - Стерлитамак;918;546
Сибай-Баймак;113;4250
Сибай-Исяново;522;21
Сибай-Кусеево;114;790
Стерлитамак - Золотоношка;281;874
Стерлитамак - Кармаскалы;122;353
Стерлитамак - Максимовка - Алга;298;1155
Стерлитамак - Мебельный;106;1714
Стерлитамак - Наумкино;290;968
Стерлитамак - с/х Рощинский;111;6955
Стерлитамак - Сады Аэропорт 2;110-2;1197
Стерлитамак - Семенкино;115;252
Стерлитамак - Шеверли;117;1243
Стерлитамак - Янгискаин;119;1062
Стерлитамак (кол. Рынок) - Наумовка;109;3449
Стерлитамак АВ - Талачево;113;1399
Стерлитамак АВ - Янгискаин;119 Т;91
Стерлитамак АВ-д. Северная;210;37
Стерлитамак АВ-Зилим-Караново;190;68
Стерлитамак АВ-Кабакуш;201;76
Стерлитамак АВ-Коварды;220;37
Стерлитамак АВ-Красноармейский;250;14
Стерлитамак АВ-Месели-Манеево;116;139
Стерлитамак АВ-Мраково;205;204
Стерлитамак АВ-Саитбаба;240;56
Стерлитамак АВ-Салихово ч/з Канакаево;500;27
