"Стерлитамак - Сады ""Веселое""";126;855
"Стерлитамак - Сады ""Ильмень""";125;1499
"Стерлитамак - Сады ""Каучук 5/3""";157-б;1521
"Стерлитамак - Сады ""Майские""";109;1454
"Стерлитамак - Сады ""Подлесное""";159;562
"Стерлитамак - Сады ""Рощинский""";162;1432
"Стерлитамак - Сады ""Сосновка""";132;397
"Стерлитамак - Сады ""Строитель 3""";158;1292
"Стерлитамак - Сады ""Ясное 2""";157-2;2082
"Стерлитамак - Сады ""Ясное""";157;6914
"Уфа - П/т ""Автомобилист""";126;348
"Уфа - с/х ""Шемяк""";109;689
"Уфа - Сады ""Лесная поляна""";123;209
"Уфа - Сады ""Нарат""";152;1704
"Уфа - Сады ""Факел""";111 к;492
"Уфа фирма МИР - Сады ""Демские""";135;268
Агидель-Нефтекамск;120;28236
Аскарово- Белорецк;924;334
Аскарово- Сибай;844;314
Баймак - Акъяр ч/з Юлдыбаево;939;240
Бакалы - Октябрьский;618;2367
Бакалы - Туймазы;629;219
Белебей - Туймазы;633;208
Белебей - Уфа;530Р;301
Белебей-М.Москва;132;71
Белебей-Приютово;101;14258
Белебей-Суккулово;117;679
Белорецк- Миндяк;109;477
Бижбуляк - Белебей;645;592
Бижбуляк - Уфа ч/з Аксеново;560;597
Бирск - Уфа ч/з Зап. развилку;535;1632
Бирск-Баймурзино;127;304
Бирск-Мишкино;120;529
В. Яркеево-Дюртюли;110;373
Верхнеяркеево - Нефтекамск;762;406
Верхнеяркеево - Туймазы;917;225
Дюртюли - Уфа;536;696
Дюртюли- Базитамак;107;968
Дюртюли-Бирск (переправа);115;1082
Исянгулово - Уфа;611;689
Ишимбай - Стерлитамак;102;16242
Караидель - Бирск;653;42
Караидель - Нефтекамск;968;68
Кумертау-Ермолаево;102;5737
Кумертау-Кинзебаево;105;549
Кумертау-Мелеуз;101;4201
Кумертау-Михайловка;110;462
Кумертау-Мраково;118;118
Кутлугуза-Стерлитамак;116;115
Мелеуз - Уфа;581;219
Мелеуз-Мраково;225;607
Мелеуз-Федоровка;229;1915
Мелеуз-Юмагузино;241;707
Нефтекамск - Амзя - 9 км;116-2;25812
Нефтекамск - Бирск;671;1662
Нефтекамск - В. Татышлы - Ст. Балтачево;675;41
Нефтекамск - Карманово;112 э;1125
Нефтекамск - Ст. Янзигит ч/з Ст. Мушта;106;1184
Нефтекамск АВ - Уфа (Южный автовокзал);588;6590
Нефтекамск-Амзя;116;3265
Нефтекамск-Зубовка с/о;111;1412
Нефтекамск-Калтасы;113;5530
Нефтекамск-Кармановская ГРЭС;112;20921
Нефтекамск-Карякино;132;387
Нефтекамск-Красный Холм;115;2009
Нефтекамск-Куяново;102;626
Нефтекамск-Саузбашево;110;288
Нефтекамск-Ст.Уразаево с/о;108;1572
Нефтекамск-Янаул;114;16664
Октябрьский - Белебей;619;687
Октябрьский - Ермекеево;621;658
Октябрьский - Нефтекамск;626;535
Октябрьский - Стерлитамак через Туймазы;822;1814
Октябрьский - Туймазы ч/з Нарышево;106;37651
Октябрьский - Уфа экспресс;600;1398
Октябрьский- Серафимовский;12;578
Октябрьский-Туймазы;106;14335
Октябрьский-Шахово;113;294
Петровск (Петровское)-Стерлитамак;116;264
Петровск-Макарово-Стерлитамак;103;893
Приютово - Октябрьский;717;1782
Приютово - Стерлитамак;623;423
Русский Юрмаш - Уфа (Южный автовокзал);130;1591
Саит-Баба-Уфа;741;469
Салават АВ- Стерлитамак АВ;101;32610
Салават-Ишимбай;101 и;12025
Салават-Мелеуз;102;18441
Салават-Сухаревка;106;513
сан. Красноусольск - Уфа;552С;1671
сан. Красноусольск-Стерлитамак ч/з рынок;282 к;4015
Семилетка-В.Яркеево;105;420
Сибай - Акъяр ч/з Подольск;750;499
Сибай - Кумертау;738;139
Сибай - Стерлитамак;918;768
Сибай-Баймак;113;7991
Сибай-Исяново;522;21
Сибай-Кусеево;114;1404
Стерлитамак - Золотоношка;281;1463
Стерлитамак - Кармаскалы;122;685
Стерлитамак - Максимовка - Алга;298;2169
Стерлитамак - Мебельный;106;3075
Стерлитамак - Наумкино;290;1344
Стерлитамак - с/х Рощинский;111;13052
Стерлитамак - Сады Аэропорт 2;110-2;1197
Стерлитамак - Семенкино;115;369
Стерлитамак - Шеверли;117;2005
Стерлитамак - Янгискаин;119;1539
Стерлитамак (кол. Рынок) - Наумовка;109;7342
Стерлитамак АВ - Талачево;113;2312
Стерлитамак АВ - Янгискаин;119 Т;170
Стерлитамак АВ-д. Северная;210;72
Стерлитамак АВ-Зилим-Караново;190;97
Стерлитамак АВ-Кабакуш;201;119
Стерлитамак АВ-Коварды;220;66
Стерлитамак АВ-Красноармейский;250;24
Стерлитамак АВ-Месели-Манеево;116;282
Стерлитамак АВ-Мраково;205;352
Стерлитамак АВ-Саитбаба;240;93
Стерлитамак АВ-Салихово ч/з Канакаево;500;41
