Уфа;62,2843813573507;73,0739957909835;Уфа;62,2843813573507;73,0739957909835;2230,656;1934,621;2007,954;509,106
Октябрьский;59,4753243965015;72,540652091043;Туймазы;59,4035186767578;72,3084030151367;191,207;520,881;331,763;14,903
Туймазы;59,4035186767578;72,3084030151367;Октябрьский;59,4753243965015;72,540652091043;272,511;424,874;220,03;32,353
"""Кафе """"Отдых"""" (в ст. города)""";62,1917495727539;72,8387222290039;Уфа;62,2843813573507;73,0739957909835;251,918;277,732;250,951;38,806
Салават;62,1580488031561;70,4199778238932;Стерлитамак;62,2137942930468;70,9302315225407;170,074;378,026;208,613;47,926
Уфа;62,2843813573507;73,0739957909835;"""Кафе """"Отдых"""" (в ст. города)""";62,1917495727539;72,8387222290039;263,95;284,3;214,205;13,373
"""Кафе """"Отдых""""""";62,1901092529297;72,8301467895508;Поселок Чесноковка (в ст. Аэропорта);62,1875;72,7958984375;158,623;252,614;178,151;63,643
Стерлитамак;62,2137942930468;70,9302315225407;Салават;62,1580488031561;70,4199778238932;127,728;268,355;172,416;24,195
Стерлитамак;62,2137942930468;70,9302315225407;Стерлитамак;62,2137942930468;70,9302315225407;137,519;203,875;146,836;44,863
Алексеевка 1 (115 м-т);62,2561187744141;73,1938400268555;Уфа;62,2843813573507;73,0739957909835;265,75;115;108,37;28,593
Стерлитамак;62,2137942930468;70,9302315225407;Ясное 2;NULL;NULL;302,063;117,563;15,042;0
Стерлитамак;62,2137942930468;70,9302315225407;Ишимбай;62,2965090433757;70,5925622304281;64,197;174,867;120,756;16,983
Сады ранний Рассвет;62,0080490112305;70,8541488647461;Стерлитамак;62,2137942930468;70,9302315225407;15,778;108,894;222,167;0
Алексеевка 1 (115 м-т);62,2561187744141;73,1938400268555;Алексеевка 1 (115 м-т);62,2561187744141;73,1938400268555;153,455;70;81,091;23,556
Раздолье;60,4789581298828;75,7915878295898;Раздолье;60,4789581298828;75,7915878295898;57,333;110,778;70,818;68,5
Нефтекамск;60,3442287804945;75,6877160702112;Профилакторий;60,5364418029785;75,8215713500977;54,444;143,2;41,929;59,667
Салават;62,1580488031561;70,4199778238932;Ишимбай;62,2965090433757;70,5925622304281;67,287;123,347;93,115;11,911
Агидель;60,0021919250488;75,3203796386719;Нефтекамск;60,3442287804945;75,6877160702112;96,631;130,787;30,336;30,892
Салават;62,1580488031561;70,4199778238932;Мелеуз;62,2065202985491;69,681296648298;46,815;129,948;89,23;17,227
"""Кафе """"Отдых"""" (в ст. города)""";62,1917495727539;72,8387222290039;"""Кафе """"Отдых"""" (в ст. города)""";62,1917495727539;72,8387222290039;69,091;117,5;88,273;1
Раздолье;60,4789581298828;75,7915878295898;Профилакторий;60,5364418029785;75,8215713500977;49,1;102,571;58,1;59,667
Мелеуз;62,2065202985491;69,681296648298;Салават;62,1580488031561;70,4199778238932;54,644;122,711;70,341;16,924
"""Кафе """"Отдых""""""";62,1901092529297;72,8301467895508;п. Зубово 1;62,1678695678711;72,807502746582;103,917;78,167;70,583;4,364
Ишимбай;62,2965090433757;70,5925622304281;Заливной;62,2351608276367;70,8109664916992;63,303;131,303;53,645;8,133
Ишимбай;62,2965090433757;70,5925622304281;Салават;62,1580488031561;70,4199778238932;84,675;92,579;63,859;12,105
Стерлитамак;62,2137942930468;70,9302315225407;Наумовка;62,2061882019043;70,7599411010742;31,628;110,205;91,797;18,28
Нефтекамск;60,3442287804945;75,6877160702112;Карманово;60,6490783691406;75,9502487182617;35,646;112,715;75,215;27,336
Уфа;62,2843813573507;73,0739957909835;Металлобаза (в ст. города);62,1713600158691;72,7459030151367;67,686;83,198;85,603;9,856
Сибай;65,2238910481081;69,2290459325758;Баймак;64,8276600557215;68,9932340734145;31,015;126,785;74,519;12,833
Ишимбай;62,2965090433757;70,5925622304281;Стерлитамак;62,2137942930468;70,9302315225407;54,913;119,591;49,328;8,547
Янаул;61,0832973827015;76,021052273837;Нефтекамск;60,3442287804945;75,6877160702112;72,385;99,911;45,252;14,674
Техникум;62,1675796508789;70,7073135375977;Стерлитамак;62,2137942930468;70,9302315225407;64,133;101,448;53,317;9,168
Уфа;62,2843813573507;73,0739957909835;Алексеевка 1 (115 м-т);62,2561187744141;73,1938400268555;85,738;54,492;60,47;23,745
Салават;62,1580488031561;70,4199778238932;Зирган МГ (изОренбурга);62,1685409545898;70,1571502685547;28,282;91,418;74,978;14,744
Баймак;64,8276600557215;68,9932340734145;Сибай;65,2238910481081;69,2290459325758;48,896;107,844;50,644;1
Нефтекамск;60,3442287804945;75,6877160702112;Янаул;61,0832973827015;76,021052273837;52,2;96,622;54,244;3,673
Туймазы;59,7044503061395;72,7754761545282;Серафимовский;59,7897135416667;72,4846954345703;16,223;94,926;71,83;13,186
Бирск;61,7834456307547;74,3506142752511;Уфа;62,2843813573507;73,0739957909835;70,803;67,5;57,804;0
Нефтекамск;60,3442287804945;75,6877160702112;Агидель;60,0021919250488;75,3203796386719;24,59;72,992;74,025;21,73
Наумовка;62,2061882019043;70,7599411010742;Стерлитамак;62,2137942930468;70,9302315225407;68,102;84,228;32,814;8,006
Уфа;62,2843813573507;73,0739957909835;п. Дмитриевка;62,0349502563477;73,1816635131836;64,753;38,662;76,878;10,778
Уфа;62,2843813573507;73,0739957909835;Бирск;61,7834456307547;74,3506142752511;29,076;87,117;63,126;10,944
