1;1;Туймазы - Якшаево;46; Туймазы АВ, ул. 70 лет Октября, Тубанкуль, Старые Туймазы, Октябрьский АВ, ул. Гатиятуллина (Муллино), Уязы-Тамак, Каратово, Якшаево;Якшаево, Каратово, Уязы-Тамак, ул. Гатиятуллина (Муллино), Октябрьский АВ, Старые Туймазы, Тубанкуль, ул. 70 лет Октября, Туймазы АВ ;"70 лет Октября ул. (Туймазы), Островского ул. (Туймазы), а.д. 80Н-479 ""Октябрьский - Туймазы"", Кооперативная ул. (Октябрьский), Северная ул. (Октябрьский), Губкина ул. (Октябрьский), Садовое кольцо ул. (Октябрьский), Девонская ул. (Октябрьский), Степана разина ул. (Октябрьский), Матросова ул. (Октябрьский), а.д. 80Н-039 ""Октябрьский - Ермекеево"", Школьная ул. (Каратово), а.д. 80Н-039 ""Октябрьский - Ермекеево""";"а.д. 80Н-039 ""Октябрьский - Ермекеево"", Школьная ул. (Каратово), а.д. 80Н-039 ""Октябрьский - Ермекеево"", Матросова ул. (Октябрьский), Степана разина ул. (Октябрьский), Девонская ул. (Октябрьский), Садовое кольцо ул. (Октябрьский), Губкина ул. (Октябрьский), Северная ул. (Октябрьский), Кооперативная ул. (Октябрьский), а.д. 80Н-479 ""Октябрьский - Туймазы"", Островского ул. (Туймазы), 70 лет Октября ул. (Туймазы)";2;2;NULL;NULL
2;2;Туймазы - Октябрьский - Серафимовский;48,5;""" Туймазы АВ, ДК """"Родина"""", Тубанкуль, Старые Туймазы, Октябрьский АВ, Куюк-Тамак, Новые Бишинды, Серафимовский АС""";"""Серафимовский АС, Новые Бишинды, Куюк-Тамак, Октябрьский АВ, Старые Туймазы, Тубанкуль, ДК """"Родина"""", Туймазы АВ """;"70 лет Октября ул. (Туймазы), Островского ул. (Туймазы), а.д. 80Н-479 ""Октябрьский - Туймазы"", Кооперативная ул. (Октябрьский), Северная ул. (Октябрьский), Губкина ул. (Октябрьский), Садовое кольцо ул. (Октябрьский), пр. Ленина (Октябрьский), Космонавтов ул. (Октябрьский), а.д. М-5 ""Урал"", а.д. 80Н-056 ""Туймазы - Серафимовка - Нижнетроицкий - Усман-Ташлы""";"а.д. 80Н-056 ""Туймазы - Серафимовка - Нижнетроицкий - Усман-Ташлы"", а.д. М-5 ""Урал"", Космонавтов ул. (Октябрьский), пр. Ленина (Октябрьский), Садовое кольцо ул. (Октябрьский), Губкина ул. (Октябрьский), Северная ул. (Октябрьский), Кооперативная ул. (Октябрьский), а.д. 80Н-479 ""Октябрьский - Туймазы"", Островского ул. (Туймазы), 70 лет Октября ул. (Туймазы)";2;2;NULL;NULL
3;3;Серафимовский - Октябрьский;26,4; Серафимовский АС, Новые Бишинды, Куюк-Тамак, Октябрьский АВ;Октябрьский АВ, Куюк-Тамак, Новые Бишинды, Серафимовский АС ;"а.д. 80Н-056 ""Туймазы - Серафимовка - Нижнетроицкий - Усман-Ташлы"", а.д. М-5 ""Урал"", Космонавтов ул. (Октябрьский), пр. Ленина (Октябрьский), Садовое кольцо ул. (Октябрьский), Губкина ул. (Октябрьский)";"Губкина ул. (Октябрьский), Садовое кольцо ул. (Октябрьский), пр. Ленина (Октябрьский), Космонавтов ул. (Октябрьский), а.д. М-5 ""Урал"", а.д. 80Н-056 ""Туймазы - Серафимовка - Нижнетроицкий - Усман-Ташлы""";2;2;NULL;NULL
4;11;Сибай - Старый Сибай;8,2;"""Сибай АВ, ГИБДД, ВДПО, ЮВГРЭ, Элеватор, ул. Загородная, Магазин """"Золото"""", ул. Коркино, Атайсал, ул. Гагарина, Старый Сибай """;"""Старый Сибай, ул. Гагарина, Атайсал, ул. Коркино, Магазин """"Золото"""", ул. Загородная, Элеватор, ЮВГРЭ, ВДПО, ГИБДД, Сибай АВ """;Лермонтова ул. (Сибай), Матросова ул. (Сибай), Элеваторная ул. (Сибай), Загородная ул. (Сибай), Карайгалы ул. (Сибай), Ленина ул. (Старый Сибай), Кусябаева ул. (Старый Сибай);Кусябаева ул. (Старый Сибай), Ленина ул. (Старый Сибай), Карайгалы ул. (Сибай), Загородная ул. (Сибай), Элеваторная ул. (Сибай), Матросова ул. (Сибай), Лермонтова ул. (Сибай);4;NULL;4;NULL
5;12;Октябрьский - Серафимовский;26,4; Октябрьский АВ, Куюк-Тамак, Новые Бишинды, Серафимовский АС; Серафимовский АС, Новые Бишинды, Куюк-Тамак, Октябрьский АВ;"Губкина ул. (Октябрьский), Садовое кольцо ул. (Октябрьский), пр. Ленина (Октябрьский), Космонавтов ул. (Октябрьский), а.д. М-5 ""Урал"", а.д. 80Н-056 ""Туймазы - Серафимовка - Нижнетроицкий - Усман-Ташлы""";"а.д. 80Н-056 ""Туймазы - Серафимовка - Нижнетроицкий - Усман-Ташлы"", а.д. М-5 ""Урал"", Космонавтов ул. (Октябрьский), пр. Ленина (Октябрьский), Садовое кольцо ул. (Октябрьский), Губкина ул. (Октябрьский)";1;NULL;1;NULL
6;101;Нефтекамск - Н. Березовка;8,87;Нефтекамск АВ, Николо-Берёзовка ;Николо-Берёзовка, Нефтекамск АВ ;NULL;NULL;5;NULL;NULL;5
7;101;Белебей - Приютово;31,61;"""Белебей АВ, 10-й км, Родники, Новая дорога, Дом отдыха """"Спутник"""", Мартыново, Екатериновка, Воробьевка, ШГПЗ, Сады 2, Сады 1, Приютово АС """;""" Приютово АС, Сады 1, Сады 2, ШГПЗ, Воробьевка, Екатериновка, Мартыново, Дом отдыха """"Спутник"""", Новая дорога, Родники, 10-й км, Белебей АВ""";"Пионерская ул. (Белебей), Войкова ул. (Белебей), Комсомольская ул. (Белебей), Ленина ул. (Белебей), Революционеров ул. (Белебей), а.д. 80Н-138 ""Белебей - Приютово"", Магистральная ул. (Приютово), 50 лет ВЛКМС ул. (Приютово)";"Карла Маркса ул. (Приютово), Магистральная ул. (Приютово), а.д. 80Н-138 ""Белебей - Приютово"", Революционеров ул. (Белебей), Ленина ул. (Белебей), Комсомольская ул. (Белебей), Войкова ул. (Белебей), Пионерская ул. (Белебей)";4;NULL;NULL;4
8;101;Уфа (ул. Дзержинского) - Аэропорт;32,35;""" Ул. Дзержинского, Железнодорожный вокзал, Ул. Пермская, Речной порт, Завод """"Магнетрон"""", Южный автовокзал, Ул. им. города Галле, Фирма """"Мир"""", БГАУ, Дом печати, ТК """"Центральный"""", Банк """"Уралсиб"""", Национальный молодежный театр им. М.Карима, Гостиница """"Башкортостан"""", Гостиный двор, Национальный музей РБ, Ул. Новомостовая, Ул. Школьная, Кооперативная поляна, Икеа, Озёрная, Кафе """"Отдых"""", Поселок Чесноковка, Металлобаза, Поселок Аэропорт, Аэропорт""";"""Аэропорт, Поселок Аэропорт, Металлобаза, Поселок Чесноковка, Кафе """"Отдых"""", Озёрная, Мелькомбинат, Кооперативная поляна, Ул. Школьная, Ул. Новомостовая, Национальный музей РБ, Гостиный двор, Гостиница """"Башкортостан"""", ТК """"Центральный"""", Дом печати, БГАУ, Фирма """"Мир"""", Ул. им. города Галле, Южный автовокзал, Завод """"Магнетрон"""", Речной порт, Железнодорожный вокзал, Ул. Дзержинского """;"ул. Вокзальная, ул. Карла Маркса, б. Ибрагимова, ул. Ленина, ул. Златоустовская, ул. Цюрупы, Кировоградская ул., ул. Пархоменко, ул. им. Города Галле, пр. Октября, ул. 50-летия Октября, ул. Цюрупы, Революционная ул., ул. Ленина, ул. Пушкина, ул. Цюрупы, ул. Заки Валиди, а.д. Р-240 ""Уфа - Оренбург""";"а.д. Р-240 ""Уфа - Оренбург"", ул. Заки Валиди, ул. Цюрупы, ул. Пушкина, ул. Ленина, ул. Достоевского, ул. Цюрупы, ул. 50-летия Октября, пр. Октября, ул. им. Города Галле, ул. Пархоменко, Кировоградская ул., ул. Цюрупы, ул. Златоустовская, ул. Вокзальная";10;NULL;NULL;10
9;101 и;Салават - Ишимбай;19,03;Салават АВ, Автосервис, Хлебзавод, СНОС, Очистные сооружения, Ишимбайский перекрёсток, Подземстрой, АГНС, ИЗТМ, Левый берег, Ишимбай АВ ;Ишимбай АВ, Левый берег, ИЗТМ, АГНС, Подземстрой, Ишимбайский перекрёсток, Очистные сооружения, СНОС, Хлебозавод, Автосервис, Салават АВ ;"Вокзальная ул. (Салават), Уфимская ул. (Салават), а.д. 80К-027 ""Стерлитамак - Салават"", Индустриальное шоссе (Ишимбай), Жукова ул. (Ишимбай)";"Жукова ул. (Ишимбай), Индустриальное шоссе (Ишимбай), а.д. 80К-027 ""Стерлитамак - Салават"", Уфимская ул. (Салават), Вокзальная ул. (Салават)";7;NULL;NULL;7
10;101;Салават АВ - Стерлитамак АВ;37; Салават АВ, Кантюковка, Васильевка, Наумовка, Покровка, 6 совхоз, Колхозный рынок АС;Колхозный рынок АС, 6 совхоз, Покровка, Наумовка, Васильевка, Кантюковка, Салават АВ ;"Вокзальная ул. (Салават), Уфимская ул. (Салават), а.д. 80К-027 ""Стерлитамак - Салават"", Оренбургский тракт, Халтурина ул. (Стерлитамак), Богдана Хмельницкого ул. (Стерлитамак), Мира ул. (Стерлитамак)";"Мира ул. (Стерлитамак), Богдана Хмельницкого ул. (Стерлитамак), Халтурина ул. (Стерлитамак), Оренбургский тракт, а.д. 80К-027 ""Стерлитамак - Салават"", Уфимская ул. (Салават), Вокзальная ул. (Салават)";15;NULL;NULL;15
