П 102 Кумертау - Ермолаево;КумАПП;Ермолаево
П 102 Нефтекамск - Куяново;Нефтекамск АВ;Куяново
П 102 Салават - Мелеуз;Салават АВ;Мелеуз АВ
П 102 Янаул - Калтасы;Янаул АС;Калтасы
П 103 Петровск - Стерлитамак;Петровское АС;Стерлитамак АВ
П 103 Уфа (Северный АВ) - Ст.Черкассы;Северный автовокзал;Старые Черкассы
П 105 а Нефтекамск - Ст. Буртюк;Нефтекамск АВ;Старый Буртюк
П 105 Кумертау - Кинзебаево;Кумертау АВ;Кинзебаево
П 105 Нефтекамск - Н. Буртюк;Нефтекамск АВ;Новый Буртюк
П 105 Семилетка - В. Яркеево;Семилетка;Верхнеяркеево АС
П 106 м Нефтекамск - Ст.Янзигит;Нефтекамск АВ;Старый Янзигит
П 106 Нефтекамск - Н. Янзигит;Нефтекамск АВ;Новый Янзигит
П 106 Нефтекамск - Ст. Янзигит ч/з Ст. Мушта;Нефтекамск АВ;Старый Янзигит
П 106 Октябрьский - Туймазы;Октябрьский АВ;Туймазы АВ
П 106 Салават - Сухаревка;Салават АВ;Сухаревка
П 106 Стерлитамак - Мебельный;Стерлитамак АВ;пос. Мебельный
П 107 Баймак - Юлдыбаево;Баймак АВ;Юлдыбаево
П 107 Дюртюли - Базитамак;Дюртюли АВ;Базитамак
П 107 Уфа (Южный АВ) - Суровка;Южный автовокзал;Сады
П 108 Нефтекамск - Ст. Уразаево - с/о Уразаево;Нефтекамск АВ;С/о Уразаево
П 108 Туймазы - Нижнезаитово;Туймазы АВ;Нижнезаитово
П 109 Белорецк - Миндяк;Белорецк АВ;Миндяк АС
П 109 Стерлитамак - Наумовка;Колхозный рынок АС;Наумовка
П 109 Стерлитамак - Сады Майские;Колхозный рынок АС;"""""""""""""""""""""""""""""""Сады """"""""""""""""""""""""""""""""Майские"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
П 109 Уфа (Южный АВ) - с/х Шемяк;Южный автовокзал;Совхоз Шемяк
П 109 Янаул - Кр. Холм;Янаул АС;Красный Холм АС
