МАРШРУТ;НАПРАВЛЕНИЕ;ОТПРАВЛЕНИЕ;КОЛИЧЕСТВО ОСТАНОВОК;ПРИБЫТИЕ НА КОНЕЧНУЮ;ОТПРАВЛЕНИЕ С КОНЕЧНОЙ;РАССТОЯНИЕ;СКОРОСТЬ;НЕОБХОДИМАЯ СКОРОСТЬ
М 115 Нефтекамск - Красный Холм;>;16:00:00.0000000;13;17:35:25.8766667;17:35:00.0000000;60,51;43;43,22143
М 201 Стерлитамак - Кабакуш;>;07:25:00.0000000;15;08:56:38.7500000;08:55:00.0000000;68,685;52,4;53,52079
М 201 Стерлитамак - Кабакуш;>;14:15:00.0000000;15;15:46:38.7500000;15:45:00.0000000;68,685;52,4;53,52079
М 201 Стерлитамак - Кабакуш;>;18:30:00.0000000;15;20:01:38.7500000;20:00:00.0000000;68,685;52,4;53,52079
М 250 Стерлитамак АВ - Красноармейский;>;06:00:00.0000000;10;07:26:16.7933333;07:25:00.0000000;64,712;49,6;50,42495
М 584 Уфа (Южный АВ) - Янаул ч/з западную развилку;<;06:30:00.0000000;8;10:57:34.9033333;10:55:00.0000000;211,01;48,4;48,88263
М 594 Уфа (Южный АВ) - Бураево ч/з зап. развилку;>;09:00:00.0000000;12;12:01:23.7200000;12:00:00.0000000;156,256;54,7;55,14918
М 594 Уфа (Южный АВ) - Бураево ч/з зап. развилку;>;12:00:00.0000000;12;15:01:23.7200000;15:00:00.0000000;156,256;54,7;55,14918
М 671 Нефтекамск - Бирск;<;14:40:00.0000000;7;18:13:00.3533333;18:10:00.0000000;155,658;44,9;45,55845
М 924 Аскарово - Белорецк;>;16:30:00.0000000;17;19:32:25.2800000;19:30:00.0000000;127,799;45,8;46,47237
П 101 И Салават - Ишимбай;<;06:00:00.0000000;11;06:30:07.3666667;06:30:00.0000000;15,138;43;43,25143
П 101 И Салават - Ишимбай;<;06:30:00.0000000;11;07:00:07.3666667;07:00:00.0000000;15,138;43;43,25143
П 101 И Салават - Ишимбай;<;10:00:00.0000000;11;10:30:07.3666667;10:30:00.0000000;15,138;43;43,25143
П 101 И Салават - Ишимбай;<;10:30:00.0000000;11;11:00:07.3666667;11:00:00.0000000;15,138;43;43,25143
П 101 И Салават - Ишимбай;<;11:00:00.0000000;11;11:30:07.3666667;11:30:00.0000000;15,138;43;43,25143
П 101 И Салават - Ишимбай;<;11:30:00.0000000;11;12:00:07.3666667;12:00:00.0000000;15,138;43;43,25143
П 101 И Салават - Ишимбай;<;12:00:00.0000000;11;12:30:07.3666667;12:30:00.0000000;15,138;43;43,25143
П 101 И Салават - Ишимбай;<;12:30:00.0000000;11;13:00:07.3666667;13:00:00.0000000;15,138;43;43,25143
П 101 И Салават - Ишимбай;<;13:00:00.0000000;11;13:30:07.3666667;13:30:00.0000000;15,138;43;43,25143
П 101 И Салават - Ишимбай;<;13:30:00.0000000;11;14:00:07.3666667;14:00:00.0000000;15,138;43;43,25143
П 101 И Салават - Ишимбай;<;14:00:00.0000000;11;14:30:07.3666667;14:30:00.0000000;15,138;43;43,25143
П 101 И Салават - Ишимбай;<;14:30:00.0000000;11;15:00:07.3666667;15:00:00.0000000;15,138;43;43,25143
